"dataset","sim","method","mse"
"Servo",45,"ER",74.6337887597027
"Servo",46,"ER",83.2660101237424
"Servo",47,"ER",79.3611149634861
"Servo",48,"ER",79.4395109527761
"Servo",49,"ER",80.8411682498557
"Servo",50,"ER",73.5036214874341
"Servo",1,"AR",29.6493433685745
"Servo",2,"AR",28.7774299822519
"Servo",3,"AR",28.0288959964427
"Servo",4,"AR",28.0648558963883
"Servo",5,"AR",27.8129662916477
"Servo",6,"AR",28.1817623516749
"Servo",7,"AR",29.7898518400058
"Servo",8,"AR",28.4694415835837
"Servo",9,"AR",28.3923299799734
"Servo",10,"AR",28.6621013490227
"Servo",11,"AR",27.5012529368621
"Servo",12,"AR",28.2059681928906
"Servo",13,"AR",27.2039835861876
"Servo",14,"AR",30.6655753464562
"Servo",15,"AR",27.4236628673362
"Servo",16,"AR",28.8680316745994
"Servo",17,"AR",28.3047994304712
"Servo",18,"AR",29.3101843126611
"Servo",19,"AR",29.3030556073006
"Servo",20,"AR",27.0620690660412
"Servo",21,"AR",27.6478552215062
"Servo",22,"AR",28.6532304367012
"Servo",23,"AR",28.2311167470443
"Servo",24,"AR",28.262305203818
"Servo",25,"AR",28.5150603182268
"Servo",26,"AR",27.9934016464119
"Servo",27,"AR",29.817012624238
"Servo",28,"AR",27.8649700461762
"Servo",29,"AR",29.192471655678
"Servo",30,"AR",30.704419436715
"Servo",31,"AR",27.9642615166513
"Servo",32,"AR",28.3414359328113
"Servo",33,"AR",27.4086734949939
"Servo",34,"AR",26.9111073683446
"Servo",35,"AR",28.7172311587544
"Servo",36,"AR",28.3528585861351
"Servo",37,"AR",29.5467226697428
"Servo",38,"AR",27.8890208818317
"Servo",39,"AR",30.0905632553294
"Servo",40,"AR",26.9232377815603
"Servo",41,"AR",31.2961591040164
"Servo",42,"AR",27.411076283594
"Servo",43,"AR",29.2145650408115
"Servo",44,"AR",28.2953725670689
"Servo",45,"AR",27.0417930181549
"Servo",46,"AR",28.9506264461588
"Servo",47,"AR",29.3435177453693
"Servo",48,"AR",27.5834677706385
"Servo",49,"AR",26.8712599685618
"Servo",50,"AR",28.9012088427947
