"dataset","sim","method","mse"
"Elevators",20,"ER",9.67691301943682e-06
"Elevators",21,"ER",9.75068954260434e-06
"Elevators",22,"ER",9.48700081953473e-06
"Elevators",23,"ER",9.62464323697208e-06
"Elevators",24,"ER",9.58863104795981e-06
"Elevators",25,"ER",9.76027588736375e-06
"Elevators",26,"ER",9.67724997767262e-06
"Elevators",27,"ER",9.7153450857282e-06
"Elevators",28,"ER",9.75337124947221e-06
"Elevators",29,"ER",9.6371679673418e-06
"Elevators",30,"ER",9.62120585517813e-06
"Elevators",31,"ER",9.64627564728034e-06
"Elevators",32,"ER",9.65083895343158e-06
"Elevators",33,"ER",9.42201869289843e-06
"Elevators",34,"ER",9.75215676891722e-06
"Elevators",35,"ER",9.52495556806495e-06
"Elevators",36,"ER",9.38658340581818e-06
"Elevators",37,"ER",9.42682582956508e-06
"Elevators",38,"ER",9.52610709845373e-06
"Elevators",39,"ER",9.79132676206442e-06
"Elevators",40,"ER",9.64000890283892e-06
"Elevators",41,"ER",9.71845832562589e-06
"Elevators",42,"ER",9.86111778480561e-06
"Elevators",43,"ER",9.58811298845804e-06
"Elevators",44,"ER",9.67600614269369e-06
"Elevators",45,"ER",9.60241314874569e-06
"Elevators",46,"ER",9.54063034507891e-06
"Elevators",47,"ER",9.65979197350825e-06
"Elevators",48,"ER",9.52387175330502e-06
"Elevators",49,"ER",9.67630353353909e-06
"Elevators",50,"ER",9.70770576463967e-06
"Elevators",1,"AR",1.11965149826377e-05
"Elevators",2,"AR",1.14815886836238e-05
"Elevators",3,"AR",1.15835017549294e-05
"Elevators",4,"AR",1.14796049888905e-05
"Elevators",5,"AR",1.13438048999033e-05
"Elevators",6,"AR",1.15006634415558e-05
"Elevators",7,"AR",1.13824940950197e-05
"Elevators",8,"AR",1.1414057160102e-05
"Elevators",9,"AR",1.1426501482059e-05
"Elevators",10,"AR",1.12629517990103e-05
"Elevators",11,"AR",1.14191765879209e-05
"Elevators",12,"AR",1.14271050909116e-05
"Elevators",13,"AR",1.15944917915658e-05
"Elevators",14,"AR",1.14521079462917e-05
"Elevators",15,"AR",1.16935484479843e-05
"Elevators",16,"AR",1.14164911818891e-05
"Elevators",17,"AR",1.1275013699856e-05
"Elevators",18,"AR",1.13628354900913e-05
"Elevators",19,"AR",1.16750593268324e-05
"Elevators",20,"AR",1.13035829171102e-05
