"dataset","sim","method","mse"
"Imports85",37,"ER",5143097.49775521
"Imports85",38,"ER",6023144.97285975
"Imports85",39,"ER",5392894.89811562
"Imports85",40,"ER",5443711.57316042
"Imports85",41,"ER",5473697.19721775
"Imports85",42,"ER",5480269.10444664
"Imports85",43,"ER",6161994.89554991
"Imports85",44,"ER",5392854.28020524
"Imports85",45,"ER",4908675.79496094
"Imports85",46,"ER",5269260.23204528
"Imports85",47,"ER",5520057.32403251
"Imports85",48,"ER",5572116.90392345
"Imports85",49,"ER",5330200.63593763
"Imports85",50,"ER",5205168.03190805
"Imports85",1,"AR",7215646.04627241
"Imports85",2,"AR",6577165.37247194
"Imports85",3,"AR",7144588.40354604
"Imports85",4,"AR",7584270.3000842
"Imports85",5,"AR",8023926.32085789
"Imports85",6,"AR",7045682.71005877
"Imports85",7,"AR",6225103.25841077
"Imports85",8,"AR",7617850.86263964
"Imports85",9,"AR",6321388.39157808
"Imports85",10,"AR",7509652.91183969
"Imports85",11,"AR",7115964.11428006
"Imports85",12,"AR",7858773.55671559
"Imports85",13,"AR",7209520.72480141
"Imports85",14,"AR",6978292.63551729
"Imports85",15,"AR",6723908.88463023
"Imports85",16,"AR",6847069.86473686
"Imports85",17,"AR",8141951.05883192
"Imports85",18,"AR",6749131.96281525
"Imports85",19,"AR",7682666.88575836
"Imports85",20,"AR",7355327.0039173
"Imports85",21,"AR",6927091.33273859
"Imports85",22,"AR",6906130.3385904
"Imports85",23,"AR",7002372.48538268
"Imports85",24,"AR",8556417.75673896
"Imports85",25,"AR",6900174.99840376
"Imports85",26,"AR",7272743.00264542
"Imports85",27,"AR",7135318.25773479
"Imports85",28,"AR",7440564.94148368
"Imports85",29,"AR",7703386.06221123
"Imports85",30,"AR",7573368.33592539
"Imports85",31,"AR",7132897.93148358
"Imports85",32,"AR",7388802.19000494
"Imports85",33,"AR",7448575.34028281
"Imports85",34,"AR",7222614.5172185
"Imports85",35,"AR",7974285.72410095
"Imports85",36,"AR",6976815.02873408
"Imports85",37,"AR",7144945.54694566
"Imports85",38,"AR",7254339.85470431
"Imports85",39,"AR",8798685.70506322
"Imports85",40,"AR",7072112.79390882
"Imports85",41,"AR",8250982.802567
"Imports85",42,"AR",7008289.53068834
"Imports85",43,"AR",7845263.19105533
"Imports85",44,"AR",8008646.62556547
"Imports85",45,"AR",7339929.2354278
"Imports85",46,"AR",7301980.37665553
"Imports85",47,"AR",7049359.8272314
"Imports85",48,"AR",6883914.65602057
"Imports85",49,"AR",7749534.42891357
"Imports85",50,"AR",7344590.8710338
