"dataset","sim","method","mse"
"Friedman2",1,"RF",22654.5671972464
"Friedman2",2,"RF",22285.9813600757
"Friedman2",3,"RF",22834.3024365193
"Friedman2",4,"RF",22640.0821556111
"Friedman2",5,"RF",22032.3961220831
"Friedman2",6,"RF",22199.831671121
"Friedman2",7,"RF",21878.6389663912
"Friedman2",8,"RF",22664.031076451
"Friedman2",9,"RF",22176.244335637
"Friedman2",10,"RF",22017.9865030884
"Friedman2",11,"RF",22252.7556308995
"Friedman2",12,"RF",22758.5303935079
"Friedman2",13,"RF",22146.7063172783
"Friedman2",14,"RF",22666.4983708157
"Friedman2",15,"RF",22332.7978521726
"Friedman2",16,"RF",22668.0450792954
"Friedman2",17,"RF",22326.9872274515
"Friedman2",18,"RF",22632.0417982013
"Friedman2",19,"RF",22108.6068571642
"Friedman2",20,"RF",22032.6108719466
"Friedman2",21,"RF",22116.2157296163
"Friedman2",22,"RF",22563.8962555487
"Friedman2",23,"RF",22560.6562004274
"Friedman2",24,"RF",21818.2153498291
"Friedman2",25,"RF",21609.8881100806
"Friedman2",26,"RF",22693.999858468
"Friedman2",27,"RF",21696.7308462269
"Friedman2",28,"RF",22366.4297454367
"Friedman2",29,"RF",22228.8237738054
"Friedman2",30,"RF",22555.4175686766
"Friedman2",31,"RF",22893.2266909137
"Friedman2",32,"RF",21572.4455948911
"Friedman2",33,"RF",22376.7152308405
"Friedman2",34,"RF",21890.890605942
"Friedman2",35,"RF",22278.5643274182
"Friedman2",36,"RF",21813.8748136578
"Friedman2",37,"RF",23331.3589807788
"Friedman2",38,"RF",22265.0389347528
"Friedman2",39,"RF",22006.5861050634
"Friedman2",40,"RF",21981.3480067283
"Friedman2",41,"RF",21957.8107115566
"Friedman2",42,"RF",22490.316897905
"Friedman2",43,"RF",22266.5182868826
"Friedman2",44,"RF",21937.1464256924
"Friedman2",45,"RF",21758.3555933695
"Friedman2",46,"RF",23462.9971066065
"Friedman2",47,"RF",22920.3352923507
"Friedman2",48,"RF",21966.935692161
"Friedman2",49,"RF",21893.111369416
"Friedman2",50,"RF",23110.1228107831
"Friedman2",1,"SSS",23464.5210873445
"Friedman2",2,"SSS",22423.4526507009
"Friedman2",3,"SSS",23122.7991907746
"Friedman2",4,"SSS",23595.4439770671
"Friedman2",5,"SSS",23163.3718970296
"Friedman2",6,"SSS",22773.597504522
"Friedman2",7,"SSS",23818.4368197126
"Friedman2",8,"SSS",23753.4273075642
"Friedman2",9,"SSS",23319.9998266572
"Friedman2",10,"SSS",22778.7394344091
"Friedman2",11,"SSS",23552.3691166877
"Friedman2",12,"SSS",23020.798189108
"Friedman2",13,"SSS",23003.3249768213
"Friedman2",14,"SSS",23082.7976081375
"Friedman2",15,"SSS",23355.3636745516
"Friedman2",16,"SSS",23159.7972982975
"Friedman2",17,"SSS",23314.6203206565
"Friedman2",18,"SSS",24355.317909751
