"dataset","sim","method","minpvalue","misclass","auc"
"German",19,"AR",0.75,0.263,0.795538095238095
"German",19,"AR",0.9,0.267,0.794114285714286
"German",20,"AR",0.01,0.249,0.795685714285714
"German",20,"AR",0.1,0.243,0.796509523809524
"German",20,"AR",0.25,0.247,0.801609523809524
"German",20,"AR",0.5,0.258,0.796571428571429
"German",20,"AR",0.75,0.261,0.792866666666667
"German",20,"AR",0.9,0.267,0.792757142857143
"German",21,"AR",0.01,0.252,0.793557142857143
"German",21,"AR",0.1,0.244,0.800814285714286
"German",21,"AR",0.25,0.245,0.797661904761905
"German",21,"AR",0.5,0.262,0.796690476190476
"German",21,"AR",0.75,0.267,0.795390476190476
"German",21,"AR",0.9,0.266,0.791838095238095
"German",22,"AR",0.01,0.246,0.792757142857143
"German",22,"AR",0.1,0.237,0.798366666666667
"German",22,"AR",0.25,0.251,0.799595238095238
"German",22,"AR",0.5,0.259,0.797190476190476
"German",22,"AR",0.75,0.264,0.794371428571429
"German",22,"AR",0.9,0.266,0.793823809523809
"German",23,"AR",0.01,0.246,0.794433333333333
"German",23,"AR",0.1,0.24,0.799314285714286
"German",23,"AR",0.25,0.247,0.795371428571429
"German",23,"AR",0.5,0.255,0.796938095238095
"German",23,"AR",0.75,0.258,0.800333333333333
"German",23,"AR",0.9,0.272,0.795066666666667
"German",24,"AR",0.01,0.248,0.794257142857143
"German",24,"AR",0.1,0.24,0.800314285714286
"German",24,"AR",0.25,0.247,0.797819047619048
"German",24,"AR",0.5,0.261,0.800090476190476
"German",24,"AR",0.75,0.267,0.792347619047619
"German",24,"AR",0.9,0.265,0.797785714285714
"German",25,"AR",0.01,0.249,0.794761904761905
"German",25,"AR",0.1,0.239,0.799428571428571
"German",25,"AR",0.25,0.248,0.799014285714286
"German",25,"AR",0.5,0.256,0.796780952380952
"German",25,"AR",0.75,0.267,0.791771428571429
"German",25,"AR",0.9,0.273,0.794333333333333
"German",26,"AR",0.01,0.252,0.7934
"German",26,"AR",0.1,0.244,0.798876190476191
"German",26,"AR",0.25,0.249,0.796804761904762
"German",26,"AR",0.5,0.251,0.798519047619048
"German",26,"AR",0.75,0.269,0.796457142857143
"German",26,"AR",0.9,0.263,0.789014285714286
"German",27,"AR",0.01,0.244,0.794014285714286
"German",27,"AR",0.1,0.238,0.801023809523809
"German",27,"AR",0.25,0.247,0.798833333333333
"German",27,"AR",0.5,0.26,0.795152380952381
"German",27,"AR",0.75,0.263,0.792942857142857
"German",27,"AR",0.9,0.27,0.793771428571429
"German",28,"AR",0.01,0.248,0.791152380952381
"German",28,"AR",0.1,0.244,0.8
"German",28,"AR",0.25,0.251,0.797695238095238
"German",28,"AR",0.5,0.258,0.796195238095238
"German",28,"AR",0.75,0.264,0.797538095238095
"German",28,"AR",0.9,0.268,0.796738095238095
"German",29,"AR",0.01,0.247,0.793952380952381
"German",29,"AR",0.1,0.24,0.793866666666667
"German",29,"AR",0.25,0.252,0.795619047619048
"German",29,"AR",0.5,0.259,0.799309523809524
"German",29,"AR",0.75,0.27,0.797047619047619
"German",29,"AR",0.9,0.273,0.795042857142857
"German",30,"AR",0.01,0.25,0.794033333333333
"German",30,"AR",0.1,0.239,0.795152380952381
