"dataset","sim","method","minpvalue","mse"
"Ailerons",17,"AR",0.5,5.51759318043476e-08
"Ailerons",17,"AR",0.75,5.638255491507e-08
"Ailerons",17,"AR",0.9,5.7546634465032e-08
"Ailerons",18,"AR",0.01,3.67328603554146e-08
"Ailerons",18,"AR",0.1,4.27663975233411e-08
"Ailerons",18,"AR",0.25,4.84203627604918e-08
"Ailerons",18,"AR",0.5,5.39021990525016e-08
"Ailerons",18,"AR",0.75,5.67898836012559e-08
"Ailerons",18,"AR",0.9,5.77421772620382e-08
"Ailerons",19,"AR",0.01,3.72173819478174e-08
"Ailerons",19,"AR",0.1,4.32215530780336e-08
"Ailerons",19,"AR",0.25,4.94294752360883e-08
"Ailerons",19,"AR",0.5,5.40399579882217e-08
"Ailerons",19,"AR",0.75,5.70086186712868e-08
"Ailerons",19,"AR",0.9,5.84427804583106e-08
"Ailerons",20,"AR",0.01,3.73340700167657e-08
"Ailerons",20,"AR",0.1,4.26770029475092e-08
"Ailerons",20,"AR",0.25,4.92130243964899e-08
"Ailerons",20,"AR",0.5,5.41288481541112e-08
"Ailerons",20,"AR",0.75,5.82470715637904e-08
"Ailerons",20,"AR",0.9,5.90467756809681e-08
"Ailerons",21,"AR",0.01,3.70530579600086e-08
"Ailerons",21,"AR",0.1,4.31038626254153e-08
"Ailerons",21,"AR",0.25,4.91306212701629e-08
"Ailerons",21,"AR",0.5,5.3663512203174e-08
"Ailerons",21,"AR",0.75,5.59089890709178e-08
"Ailerons",21,"AR",0.9,5.9252063479848e-08
"Ailerons",22,"AR",0.01,3.6702563881611e-08
"Ailerons",22,"AR",0.1,4.31417298267091e-08
"Ailerons",22,"AR",0.25,4.93491556209951e-08
"Ailerons",22,"AR",0.5,5.44496564349462e-08
"Ailerons",22,"AR",0.75,5.69154955503827e-08
"Ailerons",22,"AR",0.9,5.98868797616602e-08
"Ailerons",23,"AR",0.01,3.72959191621251e-08
"Ailerons",23,"AR",0.1,4.28936417418681e-08
"Ailerons",23,"AR",0.25,4.88041515741978e-08
"Ailerons",23,"AR",0.5,5.39712763817007e-08
"Ailerons",23,"AR",0.75,5.71586196279743e-08
"Ailerons",23,"AR",0.9,6.03227631742213e-08
"Ailerons",24,"AR",0.01,3.73847880123491e-08
"Ailerons",24,"AR",0.1,4.28158830977111e-08
"Ailerons",24,"AR",0.25,4.88811849021306e-08
"Ailerons",24,"AR",0.5,5.31856648196826e-08
"Ailerons",24,"AR",0.75,5.76530347100179e-08
"Ailerons",24,"AR",0.9,5.96405465864801e-08
"Ailerons",25,"AR",0.01,3.71882216736954e-08
"Ailerons",25,"AR",0.1,4.262405902322e-08
"Ailerons",25,"AR",0.25,4.82881477406341e-08
"Ailerons",25,"AR",0.5,5.4780326031613e-08
"Ailerons",25,"AR",0.75,5.63363192933214e-08
"Ailerons",25,"AR",0.9,5.92570879846814e-08
"Ailerons",26,"AR",0.01,3.72461813060341e-08
"Ailerons",26,"AR",0.1,4.35278727530015e-08
"Ailerons",26,"AR",0.25,4.86240112888528e-08
"Ailerons",26,"AR",0.5,5.44429852661301e-08
"Ailerons",26,"AR",0.75,5.75672953380226e-08
"Ailerons",26,"AR",0.9,5.97284743960698e-08
"Ailerons",27,"AR",0.01,3.70206156515344e-08
"Ailerons",27,"AR",0.1,4.31419862138089e-08
"Ailerons",27,"AR",0.25,4.84276438361986e-08
"Ailerons",27,"AR",0.5,5.3043906600525e-08
"Ailerons",27,"AR",0.75,5.655218370249e-08
"Ailerons",27,"AR",0.9,6.00005666469599e-08
"Ailerons",28,"AR",0.01,3.74120155220411e-08
"Ailerons",28,"AR",0.1,4.27017174398832e-08
"Ailerons",28,"AR",0.25,4.83775006588714e-08
"Ailerons",28,"AR",0.5,5.43584237041119e-08
"Ailerons",28,"AR",0.75,5.78053030039694e-08
"Ailerons",28,"AR",0.9,5.92471436119999e-08
"Ailerons",29,"AR",0.01,3.73942948933557e-08
"Ailerons",29,"AR",0.1,4.2593509021594e-08
"Ailerons",29,"AR",0.25,4.87908082107688e-08
"Ailerons",29,"AR",0.5,5.52792690030942e-08
"Ailerons",29,"AR",0.75,5.81878936885864e-08
"Ailerons",29,"AR",0.9,5.88756604139989e-08
"Ailerons",30,"AR",0.01,3.75303633455545e-08
"Ailerons",30,"AR",0.1,4.25846434177115e-08
"Ailerons",30,"AR",0.25,4.88286444349657e-08
"Ailerons",30,"AR",0.5,5.37003204303833e-08
"Ailerons",30,"AR",0.75,5.71220945878745e-08
"Ailerons",30,"AR",0.9,5.79630813486853e-08
"Ailerons",31,"AR",0.01,3.72787029908706e-08
"Ailerons",31,"AR",0.1,4.32011990799974e-08
"Ailerons",31,"AR",0.25,4.85895108517811e-08
"Ailerons",31,"AR",0.5,5.36094205955503e-08
"Ailerons",31,"AR",0.75,5.80159987434493e-08
"Ailerons",31,"AR",0.9,5.90572019858766e-08
"Ailerons",32,"AR",0.01,3.78394706213331e-08
"Ailerons",32,"AR",0.1,4.37477252044982e-08
"Ailerons",32,"AR",0.25,4.78708777390181e-08
"Ailerons",32,"AR",0.5,5.47686866389042e-08
"Ailerons",32,"AR",0.75,5.70162402282473e-08
"Ailerons",32,"AR",0.9,5.92485280763427e-08
"Ailerons",33,"AR",0.01,3.71174284052281e-08
"Ailerons",33,"AR",0.1,4.27656348757621e-08
"Ailerons",33,"AR",0.25,4.89724420233452e-08
"Ailerons",33,"AR",0.5,5.39280532438639e-08
"Ailerons",33,"AR",0.75,5.83930348100452e-08
"Ailerons",33,"AR",0.9,5.82997861279382e-08
"Ailerons",34,"AR",0.01,3.71635729855909e-08
"Ailerons",34,"AR",0.1,4.31993847744247e-08
"Ailerons",34,"AR",0.25,4.94713479004021e-08
"Ailerons",34,"AR",0.5,5.48518542187985e-08
"Ailerons",34,"AR",0.75,5.89545408888465e-08
"Ailerons",34,"AR",0.9,5.85288372493187e-08
"Ailerons",35,"AR",0.01,3.73177375932791e-08
"Ailerons",35,"AR",0.1,4.34957833123653e-08
"Ailerons",35,"AR",0.25,4.83670958014397e-08
"Ailerons",35,"AR",0.5,5.38690798739576e-08
"Ailerons",35,"AR",0.75,5.84255511873229e-08
"Ailerons",35,"AR",0.9,5.8947076021215e-08
"Ailerons",36,"AR",0.01,3.74656779728296e-08
"Ailerons",36,"AR",0.1,4.34345246625056e-08
"Ailerons",36,"AR",0.25,4.89191967890078e-08
"Ailerons",36,"AR",0.5,5.47659040493133e-08
"Ailerons",36,"AR",0.75,5.66715467398398e-08
"Ailerons",36,"AR",0.9,5.85646247498908e-08
"Ailerons",37,"AR",0.01,3.68489648770406e-08
"Ailerons",37,"AR",0.1,4.33787873452984e-08
"Ailerons",37,"AR",0.25,4.84554066501761e-08
"Ailerons",37,"AR",0.5,5.54697686506606e-08
"Ailerons",37,"AR",0.75,5.79251674995523e-08
"Ailerons",37,"AR",0.9,5.93261087424876e-08
"Ailerons",38,"AR",0.01,3.75887635239195e-08
"Ailerons",38,"AR",0.1,4.35841901417954e-08
"Ailerons",38,"AR",0.25,4.83313965051289e-08
"Ailerons",38,"AR",0.5,5.26640780986531e-08
"Ailerons",38,"AR",0.75,5.62724850918839e-08
"Ailerons",38,"AR",0.9,5.91876928212054e-08
"Ailerons",39,"AR",0.01,3.77810216600898e-08
"Ailerons",39,"AR",0.1,4.32905845482609e-08
"Ailerons",39,"AR",0.25,4.9296450329763e-08
"Ailerons",39,"AR",0.5,5.3538343692026e-08
"Ailerons",39,"AR",0.75,5.6220500762533e-08
"Ailerons",39,"AR",0.9,5.93666238610196e-08
"Ailerons",40,"AR",0.01,3.79005508296874e-08
"Ailerons",40,"AR",0.1,4.32164417932737e-08
"Ailerons",40,"AR",0.25,4.86419866958488e-08
"Ailerons",40,"AR",0.5,5.44793936656559e-08
"Ailerons",40,"AR",0.75,5.67641899662979e-08
"Ailerons",40,"AR",0.9,5.85940083861016e-08
"Ailerons",41,"AR",0.01,3.68383367070732e-08
"Ailerons",41,"AR",0.1,4.42793132641689e-08
"Ailerons",41,"AR",0.25,4.89229030976408e-08
"Ailerons",41,"AR",0.5,5.46474554240002e-08
"Ailerons",41,"AR",0.75,5.62275534126704e-08
"Ailerons",41,"AR",0.9,5.91491241016737e-08
"Ailerons",42,"AR",0.01,3.67008500621812e-08
"Ailerons",42,"AR",0.1,4.25506672564848e-08
"Ailerons",42,"AR",0.25,4.90316311258883e-08
"Ailerons",42,"AR",0.5,5.48048605834941e-08
"Ailerons",42,"AR",0.75,5.90602484654852e-08
"Ailerons",42,"AR",0.9,5.80473983168692e-08
"Ailerons",43,"AR",0.01,3.72288476133104e-08
"Ailerons",43,"AR",0.1,4.22929881887353e-08
"Ailerons",43,"AR",0.25,4.83566165850695e-08
"Ailerons",43,"AR",0.5,5.40937221176559e-08
"Ailerons",43,"AR",0.75,5.55117455220414e-08
"Ailerons",43,"AR",0.9,5.80482180136497e-08
"Ailerons",44,"AR",0.01,3.72853957448413e-08
"Ailerons",44,"AR",0.1,4.35378920129533e-08
"Ailerons",44,"AR",0.25,4.85485661731595e-08
