"dataset","sim","method","minpvalue","mse"
"Imports85",20,"AR",0.25,8839853.01163687
"Imports85",20,"AR",0.5,9825913.75429826
"Imports85",20,"AR",0.75,10703979.8778801
"Imports85",20,"AR",0.9,10370284.9828589
"Imports85",21,"AR",0.01,6904175.64597965
"Imports85",21,"AR",0.1,6754145.91169121
"Imports85",21,"AR",0.25,7387063.99905994
"Imports85",21,"AR",0.5,10035973.6620304
"Imports85",21,"AR",0.75,11061563.2930531
"Imports85",21,"AR",0.9,10009966.5618302
"Imports85",22,"AR",0.01,6970798.01017483
"Imports85",22,"AR",0.1,7396115.21485517
"Imports85",22,"AR",0.25,7838905.41026823
"Imports85",22,"AR",0.5,8759573.40159979
"Imports85",22,"AR",0.75,10182300.7882565
"Imports85",22,"AR",0.9,9410724.49913377
"Imports85",23,"AR",0.01,7352576.13925843
"Imports85",23,"AR",0.1,7935199.26198879
"Imports85",23,"AR",0.25,7729144.5917256
"Imports85",23,"AR",0.5,8484678.46835672
"Imports85",23,"AR",0.75,9691236.29810923
"Imports85",23,"AR",0.9,10645153.9006656
"Imports85",24,"AR",0.01,6914029.78369222
"Imports85",24,"AR",0.1,7255132.40634557
"Imports85",24,"AR",0.25,7603632.92489558
"Imports85",24,"AR",0.5,10973484.0507474
"Imports85",24,"AR",0.75,11044237.8854189
"Imports85",24,"AR",0.9,9981102.59377384
"Imports85",25,"AR",0.01,6488649.67664941
"Imports85",25,"AR",0.1,7802125.39627328
"Imports85",25,"AR",0.25,8646070.10557456
"Imports85",25,"AR",0.5,9414719.31144002
"Imports85",25,"AR",0.75,9396068.33488027
"Imports85",25,"AR",0.9,10242877.7149406
"Imports85",26,"AR",0.01,7574827.56563201
"Imports85",26,"AR",0.1,7242681.42247307
"Imports85",26,"AR",0.25,7759169.55779567
"Imports85",26,"AR",0.5,7660195.09287395
"Imports85",26,"AR",0.75,8701213.91303364
"Imports85",26,"AR",0.9,9257833.56231934
"Imports85",27,"AR",0.01,7853144.87643083
"Imports85",27,"AR",0.1,8564635.90133827
"Imports85",27,"AR",0.25,8240836.71740545
"Imports85",27,"AR",0.5,8315210.75235199
"Imports85",27,"AR",0.75,10393880.4995605
"Imports85",27,"AR",0.9,10071683.7961115
"Imports85",28,"AR",0.01,6616960.04537057
"Imports85",28,"AR",0.1,8229391.51985078
"Imports85",28,"AR",0.25,7610512.61981722
"Imports85",28,"AR",0.5,8737270.4713551
"Imports85",28,"AR",0.75,9838179.42269163
"Imports85",28,"AR",0.9,10833661.8580141
"Imports85",29,"AR",0.01,7159987.46633023
"Imports85",29,"AR",0.1,7727736.96531594
"Imports85",29,"AR",0.25,8417703.47781568
"Imports85",29,"AR",0.5,9466635.46282024
"Imports85",29,"AR",0.75,9901371.20335913
"Imports85",29,"AR",0.9,10181773.5529908
"Imports85",30,"AR",0.01,6603986.90626961
"Imports85",30,"AR",0.1,6835728.23285048
"Imports85",30,"AR",0.25,7971495.93644647
"Imports85",30,"AR",0.5,8914057.72936596
"Imports85",30,"AR",0.75,9120636.64323496
"Imports85",30,"AR",0.9,10064931.6713582
"Imports85",31,"AR",0.01,7496979.71586678
"Imports85",31,"AR",0.1,7749689.67422525
"Imports85",31,"AR",0.25,8909311.77029261
"Imports85",31,"AR",0.5,9831602.06934192
"Imports85",31,"AR",0.75,9278173.28742342
"Imports85",31,"AR",0.9,10912349.3542337
"Imports85",32,"AR",0.01,7197476.77607357
"Imports85",32,"AR",0.1,7829388.39671618
"Imports85",32,"AR",0.25,7528553.07431281
"Imports85",32,"AR",0.5,9078507.87526319
"Imports85",32,"AR",0.75,11505666.1787128
"Imports85",32,"AR",0.9,9968664.80799616
"Imports85",33,"AR",0.01,7962831.24250677
"Imports85",33,"AR",0.1,7812939.36070452
"Imports85",33,"AR",0.25,8006809.5071422
"Imports85",33,"AR",0.5,9670460.79516395
"Imports85",33,"AR",0.75,10376817.5933243
"Imports85",33,"AR",0.9,10230624.3057296
"Imports85",34,"AR",0.01,7178139.68465248
"Imports85",34,"AR",0.1,7266076.68807012
"Imports85",34,"AR",0.25,8835048.60103031
"Imports85",34,"AR",0.5,7589395.37744188
"Imports85",34,"AR",0.75,10750868.2395363
"Imports85",34,"AR",0.9,10059680.7301916
"Imports85",35,"AR",0.01,6844266.39457461
"Imports85",35,"AR",0.1,7900308.21227839
"Imports85",35,"AR",0.25,7457906.37846209
"Imports85",35,"AR",0.5,7579153.28713127
"Imports85",35,"AR",0.75,10021593.6667406
"Imports85",35,"AR",0.9,9946258.70982383
"Imports85",36,"AR",0.01,7005294.79091051
"Imports85",36,"AR",0.1,8303500.25830787
"Imports85",36,"AR",0.25,7944011.85630173
"Imports85",36,"AR",0.5,9206109.84528705
"Imports85",36,"AR",0.75,8837806.86373694
"Imports85",36,"AR",0.9,10441027.1665564
"Imports85",37,"AR",0.01,7510224.98584881
"Imports85",37,"AR",0.1,7314717.40528902
"Imports85",37,"AR",0.25,7859830.03988456
"Imports85",37,"AR",0.5,8694839.99531561
"Imports85",37,"AR",0.75,10086773.5161995
"Imports85",37,"AR",0.9,9894881.52526658
"Imports85",38,"AR",0.01,6575776.9763199
"Imports85",38,"AR",0.1,8004436.56353027
"Imports85",38,"AR",0.25,7589668.9424433
"Imports85",38,"AR",0.5,8613976.88095606
"Imports85",38,"AR",0.75,10221882.0577016
"Imports85",38,"AR",0.9,10218823.514512
"Imports85",39,"AR",0.01,7284917.59394533
"Imports85",39,"AR",0.1,7699757.01531898
"Imports85",39,"AR",0.25,8216687.13813883
"Imports85",39,"AR",0.5,8180248.78208336
"Imports85",39,"AR",0.75,11122503.9170968
"Imports85",39,"AR",0.9,9903621.78411018
"Imports85",40,"AR",0.01,6650074.94173945
"Imports85",40,"AR",0.1,7502356.92203619
"Imports85",40,"AR",0.25,8957649.40243661
"Imports85",40,"AR",0.5,9545368.34702201
