"dataset","sim","method","minpvalue","mse"
"Abalone",20,"AR",0.1,4.66961663150717
"Abalone",20,"AR",0.25,4.71271148954218
"Abalone",20,"AR",0.5,4.75485382900721
"Abalone",20,"AR",0.75,4.8776041477784
"Abalone",20,"AR",0.9,4.87380814042172
"Abalone",21,"AR",0.01,4.64117486965269
"Abalone",21,"AR",0.1,4.6948450122295
"Abalone",21,"AR",0.25,4.74115704500442
"Abalone",21,"AR",0.5,4.79175570916185
"Abalone",21,"AR",0.75,4.85569960409693
"Abalone",21,"AR",0.9,4.88905607059919
"Abalone",22,"AR",0.01,4.61940788302863
"Abalone",22,"AR",0.1,4.65737939521307
"Abalone",22,"AR",0.25,4.72706189203714
"Abalone",22,"AR",0.5,4.78767626365816
"Abalone",22,"AR",0.75,4.82800278995976
"Abalone",22,"AR",0.9,4.85842197489207
"Abalone",23,"AR",0.01,4.64476716026451
"Abalone",23,"AR",0.1,4.71153429321476
"Abalone",23,"AR",0.25,4.6915453014255
"Abalone",23,"AR",0.5,4.79407013103489
"Abalone",23,"AR",0.75,4.8306412211149
"Abalone",23,"AR",0.9,4.86456789456034
"Abalone",24,"AR",0.01,4.63491905106945
"Abalone",24,"AR",0.1,4.67848432614885
"Abalone",24,"AR",0.25,4.75380957251381
"Abalone",24,"AR",0.5,4.72875117438018
"Abalone",24,"AR",0.75,4.78653874817935
"Abalone",24,"AR",0.9,4.86121488522921
"Abalone",25,"AR",0.01,4.63923120028966
"Abalone",25,"AR",0.1,4.74922905922579
"Abalone",25,"AR",0.25,4.73689807673369
"Abalone",25,"AR",0.5,4.78327026470379
"Abalone",25,"AR",0.75,4.83684425534542
"Abalone",25,"AR",0.9,4.91524140146249
"Abalone",26,"AR",0.01,4.67379498896447
"Abalone",26,"AR",0.1,4.69307505281523
"Abalone",26,"AR",0.25,4.75527974524198
"Abalone",26,"AR",0.5,4.74646954334863
"Abalone",26,"AR",0.75,4.85849667496514
"Abalone",26,"AR",0.9,4.88151760951312
"Abalone",27,"AR",0.01,4.59605102436902
"Abalone",27,"AR",0.1,4.71872649268523
"Abalone",27,"AR",0.25,4.69170522150324
"Abalone",27,"AR",0.5,4.79845047504549
"Abalone",27,"AR",0.75,4.89528723603214
"Abalone",27,"AR",0.9,4.8754613223168
"Abalone",28,"AR",0.01,4.60125308261793
"Abalone",28,"AR",0.1,4.68858257354062
"Abalone",28,"AR",0.25,4.7560499156627
"Abalone",28,"AR",0.5,4.77314204717021
"Abalone",28,"AR",0.75,4.81685617589487
"Abalone",28,"AR",0.9,4.83185985575455
"Abalone",29,"AR",0.01,4.59121176752268
"Abalone",29,"AR",0.1,4.71193427080931
"Abalone",29,"AR",0.25,4.71953067882889
"Abalone",29,"AR",0.5,4.77824317487789
"Abalone",29,"AR",0.75,4.83488186581036
"Abalone",29,"AR",0.9,4.92001289271395
"Abalone",30,"AR",0.01,4.61966654517219
"Abalone",30,"AR",0.1,4.67593835298155
"Abalone",30,"AR",0.25,4.73975405369462
"Abalone",30,"AR",0.5,4.79922944642045
"Abalone",30,"AR",0.75,4.82740319878205
"Abalone",30,"AR",0.9,4.8569934030554
"Abalone",31,"AR",0.01,4.65298334883524
"Abalone",31,"AR",0.1,4.73885645678861
"Abalone",31,"AR",0.25,4.73209592219995
"Abalone",31,"AR",0.5,4.76157834741171
"Abalone",31,"AR",0.75,4.81217192776011
"Abalone",31,"AR",0.9,4.86107501522943
"Abalone",32,"AR",0.01,4.62956652249535
"Abalone",32,"AR",0.1,4.65226732786177
"Abalone",32,"AR",0.25,4.69684810432014
"Abalone",32,"AR",0.5,4.75296306149322
"Abalone",32,"AR",0.75,4.83396278244566
"Abalone",32,"AR",0.9,4.84060227497301
"Abalone",33,"AR",0.01,4.58071527268479
"Abalone",33,"AR",0.1,4.63706324341023
"Abalone",33,"AR",0.25,4.71285921566661
"Abalone",33,"AR",0.5,4.79189548120497
"Abalone",33,"AR",0.75,4.83696286802845
"Abalone",33,"AR",0.9,4.84096040278013
"Abalone",34,"AR",0.01,4.63126921751051
"Abalone",34,"AR",0.1,4.70702519775008
"Abalone",34,"AR",0.25,4.75951486573245
"Abalone",34,"AR",0.5,4.77808729067773
"Abalone",34,"AR",0.75,4.86406778501595
"Abalone",34,"AR",0.9,4.86913533240757
"Abalone",35,"AR",0.01,4.6489836979437
"Abalone",35,"AR",0.1,4.6856782339272
"Abalone",35,"AR",0.25,4.73831542167702
"Abalone",35,"AR",0.5,4.8217679192574
"Abalone",35,"AR",0.75,4.83254957457942
"Abalone",35,"AR",0.9,4.85036805878138
"Abalone",36,"AR",0.01,4.6133425513471
"Abalone",36,"AR",0.1,4.68014669412738
"Abalone",36,"AR",0.25,4.71192123606169
"Abalone",36,"AR",0.5,4.79508030329433
"Abalone",36,"AR",0.75,4.85994272182149
"Abalone",36,"AR",0.9,4.90115928075468
"Abalone",37,"AR",0.01,4.63469334634366
"Abalone",37,"AR",0.1,4.71226756018057
"Abalone",37,"AR",0.25,4.73523369594414
"Abalone",37,"AR",0.5,4.78480731049467
"Abalone",37,"AR",0.75,4.83712359738542
"Abalone",37,"AR",0.9,4.8538414505569
"Abalone",38,"AR",0.01,4.63587919475955
"Abalone",38,"AR",0.1,4.69632681703659
"Abalone",38,"AR",0.25,4.73213029345882
"Abalone",38,"AR",0.5,4.74682933721926
"Abalone",38,"AR",0.75,4.8165443227296
"Abalone",38,"AR",0.9,4.86126578200707
"Abalone",39,"AR",0.01,4.63731492492106
"Abalone",39,"AR",0.1,4.66686936576654
"Abalone",39,"AR",0.25,4.7215121466062
"Abalone",39,"AR",0.5,4.81802647938119
"Abalone",39,"AR",0.75,4.83755604376309
"Abalone",39,"AR",0.9,4.86177998818767
"Abalone",40,"AR",0.01,4.62543835071849
"Abalone",40,"AR",0.1,4.70627981690615
"Abalone",40,"AR",0.25,4.74735018191247
"Abalone",40,"AR",0.5,4.78012354284274
"Abalone",40,"AR",0.75,4.85325631244399
"Abalone",40,"AR",0.9,4.8611935689818
"Abalone",41,"AR",0.01,4.59850594169542
"Abalone",41,"AR",0.1,4.68294595275001
"Abalone",41,"AR",0.25,4.70210884103213
"Abalone",41,"AR",0.5,4.76293913642647
"Abalone",41,"AR",0.75,4.8474149804897
"Abalone",41,"AR",0.9,4.89377697363094
"Abalone",42,"AR",0.01,4.61673565990888
"Abalone",42,"AR",0.1,4.70508605997006
"Abalone",42,"AR",0.25,4.70016747803503
"Abalone",42,"AR",0.5,4.80130968237506
"Abalone",42,"AR",0.75,4.80846876806625
"Abalone",42,"AR",0.9,4.86876491977923
"Abalone",43,"AR",0.01,4.63975008565693
"Abalone",43,"AR",0.1,4.66685969396737
"Abalone",43,"AR",0.25,4.78556757121177
"Abalone",43,"AR",0.5,4.8143543352514
"Abalone",43,"AR",0.75,4.81611207575895
