"dataset","sim","method","minpvalue","mse"
"Friedman2",1,"AR",0.01,17340.3496536906
"Friedman2",1,"AR",0.1,17849.1210694112
"Friedman2",1,"AR",0.25,19020.0050921293
"Friedman2",1,"AR",0.5,21036.4334081001
"Friedman2",1,"AR",0.75,23634.6812670595
"Friedman2",1,"AR",0.9,25519.5032583405
"Friedman2",2,"AR",0.01,17303.0210479165
"Friedman2",2,"AR",0.1,17949.9449264894
"Friedman2",2,"AR",0.25,18626.2304600102
"Friedman2",2,"AR",0.5,21050.1938685991
"Friedman2",2,"AR",0.75,24124.8069067433
"Friedman2",2,"AR",0.9,24428.8418830499
"Friedman2",3,"AR",0.01,17312.070938205
"Friedman2",3,"AR",0.1,18061.6684012605
"Friedman2",3,"AR",0.25,18829.8341612121
"Friedman2",3,"AR",0.5,20703.4775224785
"Friedman2",3,"AR",0.75,23310.9831080556
"Friedman2",3,"AR",0.9,25129.8870137856
"Friedman2",4,"AR",0.01,17422.5207143178
"Friedman2",4,"AR",0.1,17933.6635780765
"Friedman2",4,"AR",0.25,18838.0756193008
"Friedman2",4,"AR",0.5,21233.6347521867
"Friedman2",4,"AR",0.75,23082.967154818
"Friedman2",4,"AR",0.9,26642.4748307156
"Friedman2",5,"AR",0.01,17349.4036099864
"Friedman2",5,"AR",0.1,17932.9781316383
"Friedman2",5,"AR",0.25,18851.6172597791
"Friedman2",5,"AR",0.5,20341.874485293
"Friedman2",5,"AR",0.75,23529.4735800539
"Friedman2",5,"AR",0.9,25797.7370352137
"Friedman2",6,"AR",0.01,17129.8693781311
"Friedman2",6,"AR",0.1,17798.1953729077
"Friedman2",6,"AR",0.25,18716.5116216924
"Friedman2",6,"AR",0.5,20023.1355026772
"Friedman2",6,"AR",0.75,22466.4781487224
"Friedman2",6,"AR",0.9,23736.8048207547
"Friedman2",7,"AR",0.01,17301.7402130626
"Friedman2",7,"AR",0.1,17842.9845449738
"Friedman2",7,"AR",0.25,18712.2527241923
"Friedman2",7,"AR",0.5,20798.7686823613
"Friedman2",7,"AR",0.75,22892.4315373112
"Friedman2",7,"AR",0.9,25171.6066795592
"Friedman2",8,"AR",0.01,17284.3300787198
"Friedman2",8,"AR",0.1,17901.4273139095
"Friedman2",8,"AR",0.25,18499.717444436
"Friedman2",8,"AR",0.5,20529.6623585883
"Friedman2",8,"AR",0.75,23454.747607521
"Friedman2",8,"AR",0.9,24800.4320622765
"Friedman2",9,"AR",0.01,17178.2818572239
"Friedman2",9,"AR",0.1,18026.3135952119
"Friedman2",9,"AR",0.25,18777.4656992296
"Friedman2",9,"AR",0.5,19976.3512649624
"Friedman2",9,"AR",0.75,23406.4678605731
"Friedman2",9,"AR",0.9,24352.1527738006
"Friedman2",10,"AR",0.01,17309.9970495603
"Friedman2",10,"AR",0.1,17909.0135670702
"Friedman2",10,"AR",0.25,18750.2857191001
"Friedman2",10,"AR",0.5,20778.2503497074
"Friedman2",10,"AR",0.75,22118.8388171961
"Friedman2",10,"AR",0.9,25717.3272947325
"Friedman2",11,"AR",0.01,17330.8844139476
"Friedman2",11,"AR",0.1,18083.9692335209
"Friedman2",11,"AR",0.25,18521.1882559224
"Friedman2",11,"AR",0.5,21544.2018466969
"Friedman2",11,"AR",0.75,23508.8358624437
