"dataset","sim","method","minpvalue","mse"
"Servo",21,"AR",0.1,29.6865532144047
"Servo",21,"AR",0.25,34.9460847024868
"Servo",21,"AR",0.5,42.389530695571
"Servo",21,"AR",0.75,56.8605837984777
"Servo",21,"AR",0.9,57.1308703099513
"Servo",22,"AR",0.01,26.5606757632622
"Servo",22,"AR",0.1,31.0451125787024
"Servo",22,"AR",0.25,36.5713001342699
"Servo",22,"AR",0.5,39.9145910253084
"Servo",22,"AR",0.75,50.9207053128139
"Servo",22,"AR",0.9,57.7532911201556
"Servo",23,"AR",0.01,26.830906072753
"Servo",23,"AR",0.1,31.649834839515
"Servo",23,"AR",0.25,38.6538517837065
"Servo",23,"AR",0.5,41.9835245364536
"Servo",23,"AR",0.75,53.6338500335657
"Servo",23,"AR",0.9,55.7122244813567
"Servo",24,"AR",0.01,27.325601266604
"Servo",24,"AR",0.1,32.0448282618394
"Servo",24,"AR",0.25,35.7044049012106
"Servo",24,"AR",0.5,44.7544517669357
"Servo",24,"AR",0.75,50.5071175914607
"Servo",24,"AR",0.9,62.301001611302
"Servo",25,"AR",0.01,26.6869656702792
"Servo",25,"AR",0.1,32.6751232778882
"Servo",25,"AR",0.25,34.0040787229678
"Servo",25,"AR",0.5,46.7585899031719
"Servo",25,"AR",0.75,49.5775497659489
"Servo",25,"AR",0.9,58.0468807116605
"Servo",26,"AR",0.01,27.7525715662039
"Servo",26,"AR",0.1,28.1677646257061
"Servo",26,"AR",0.25,35.7449241115295
"Servo",26,"AR",0.5,51.0387654129514
"Servo",26,"AR",0.75,55.2575097762131
"Servo",26,"AR",0.9,64.9353281878291
"Servo",27,"AR",0.01,26.3313599825048
"Servo",27,"AR",0.1,30.3666850159112
"Servo",27,"AR",0.25,32.7541220339327
"Servo",27,"AR",0.5,48.4252643306704
"Servo",27,"AR",0.75,51.546835486015
"Servo",27,"AR",0.9,59.2832088773515
"Servo",28,"AR",0.01,28.1091234176135
"Servo",28,"AR",0.1,28.1125126393703
"Servo",28,"AR",0.25,35.6977386281172
"Servo",28,"AR",0.5,44.8531615101506
"Servo",28,"AR",0.75,55.7027316164346
"Servo",28,"AR",0.9,57.6018379023164
"Servo",29,"AR",0.01,27.2347354656562
"Servo",29,"AR",0.1,32.274717652882
"Servo",29,"AR",0.25,36.3221648445366
"Servo",29,"AR",0.5,42.3816826839358
"Servo",29,"AR",0.75,58.5317461210519
"Servo",29,"AR",0.9,58.636060615307
"Servo",30,"AR",0.01,27.0707801190157
"Servo",30,"AR",0.1,31.1582053402146
"Servo",30,"AR",0.25,36.2371464502623
"Servo",30,"AR",0.5,46.5186649561291
"Servo",30,"AR",0.75,56.6026337739035
"Servo",30,"AR",0.9,64.1799817753295
"Servo",31,"AR",0.01,26.8211991786834
"Servo",31,"AR",0.1,29.0588383231196
"Servo",31,"AR",0.25,35.3029039547815
"Servo",31,"AR",0.5,47.0355547481559
"Servo",31,"AR",0.75,52.2004159921344
"Servo",31,"AR",0.9,57.5431165552835
"Servo",32,"AR",0.01,27.8044624156552
"Servo",32,"AR",0.1,30.860280804706
"Servo",32,"AR",0.25,36.8352693311337
"Servo",32,"AR",0.5,44.445593879977
"Servo",32,"AR",0.75,51.2865070922596
"Servo",32,"AR",0.9,57.5422336898068
"Servo",33,"AR",0.01,27.7764113734098
"Servo",33,"AR",0.1,29.9344404728785
"Servo",33,"AR",0.25,37.8732620694773
"Servo",33,"AR",0.5,47.3954656735129
"Servo",33,"AR",0.75,52.5744063544276
"Servo",33,"AR",0.9,64.186729314468
"Servo",34,"AR",0.01,26.7224606357198
"Servo",34,"AR",0.1,29.2107619637684
"Servo",34,"AR",0.25,35.6119567957822
"Servo",34,"AR",0.5,43.1282568950957
"Servo",34,"AR",0.75,47.7844523062831
"Servo",34,"AR",0.9,55.8684127517889
"Servo",35,"AR",0.01,26.9790409502073
"Servo",35,"AR",0.1,29.7868904471993
"Servo",35,"AR",0.25,38.119919424848
"Servo",35,"AR",0.5,43.7467528293432
"Servo",35,"AR",0.75,53.6789778087488
"Servo",35,"AR",0.9,54.4725027262358
"Servo",36,"AR",0.01,29.3093731499122
"Servo",36,"AR",0.1,30.5399913846795
"Servo",36,"AR",0.25,35.6555431097622
"Servo",36,"AR",0.5,50.5513605655772
"Servo",36,"AR",0.75,54.5515099635851
"Servo",36,"AR",0.9,63.0784395514098
"Servo",37,"AR",0.01,28.5514560202868
"Servo",37,"AR",0.1,30.0313182961408
"Servo",37,"AR",0.25,33.87660100389
"Servo",37,"AR",0.5,46.409829086476
"Servo",37,"AR",0.75,55.2713825853232
"Servo",37,"AR",0.9,59.9406161192898
"Servo",38,"AR",0.01,27.9713660434954
"Servo",38,"AR",0.1,31.4059876153473
"Servo",38,"AR",0.25,34.6185979310517
"Servo",38,"AR",0.5,48.8653980322983
"Servo",38,"AR",0.75,55.188216783362
"Servo",38,"AR",0.9,57.2932599911544
"Servo",39,"AR",0.01,25.4726283648552
"Servo",39,"AR",0.1,30.363718932151
"Servo",39,"AR",0.25,33.1800443710954
"Servo",39,"AR",0.5,40.6274291528063
"Servo",39,"AR",0.75,55.221359351596
"Servo",39,"AR",0.9,57.0931747186439
"Servo",40,"AR",0.01,28.0535580914762
"Servo",40,"AR",0.1,28.8924251854251
"Servo",40,"AR",0.25,36.5970397966562
"Servo",40,"AR",0.5,50.031115821509
"Servo",40,"AR",0.75,53.8732087393232
"Servo",40,"AR",0.9,58.7503340332478
"Servo",41,"AR",0.01,26.9190090171058
"Servo",41,"AR",0.1,31.6930786137606
"Servo",41,"AR",0.25,35.1025709525567
"Servo",41,"AR",0.5,43.7818261395108
"Servo",41,"AR",0.75,52.218922400759
"Servo",41,"AR",0.9,58.4135946774448
"Servo",42,"AR",0.01,27.2231638323534
"Servo",42,"AR",0.1,31.150335474395
"Servo",42,"AR",0.25,32.8469862846403
"Servo",42,"AR",0.5,44.5896418821733
"Servo",42,"AR",0.75,52.3860697828193
"Servo",42,"AR",0.9,55.7250538554215
"Servo",43,"AR",0.01,24.7406423228252
"Servo",43,"AR",0.1,28.1472110061102
"Servo",43,"AR",0.25,36.4981288671262
"Servo",43,"AR",0.5,44.9919382369617
"Servo",43,"AR",0.75,54.8876376265177
"Servo",43,"AR",0.9,67.9943582593531
"Servo",44,"AR",0.01,27.4618901601124
"Servo",44,"AR",0.1,30.7601668379194
"Servo",44,"AR",0.25,37.2278438531357
"Servo",44,"AR",0.5,48.1320143708179
"Servo",44,"AR",0.75,51.77420195299
"Servo",44,"AR",0.9,57.3503875411341
"Servo",45,"AR",0.01,29.3150924136163
"Servo",45,"AR",0.1,28.6995288715185
"Servo",45,"AR",0.25,33.0215602361797
"Servo",45,"AR",0.5,46.6881149463327
"Servo",45,"AR",0.75,53.1134368444618
"Servo",45,"AR",0.9,56.2945697515261
"Servo",46,"AR",0.01,27.7009551663358
"Servo",46,"AR",0.1,29.4450905387727
"Servo",46,"AR",0.25,36.0744359671165
"Servo",46,"AR",0.5,50.0824186393702
"Servo",46,"AR",0.75,51.941343161814
"Servo",46,"AR",0.9,59.6781673196123
"Servo",47,"AR",0.01,26.6734546384602
"Servo",47,"AR",0.1,28.6889308520615
"Servo",47,"AR",0.25,36.4435730877578
"Servo",47,"AR",0.5,44.4371549260853
"Servo",47,"AR",0.75,52.4723237797279
"Servo",47,"AR",0.9,60.0303734752387
"Servo",48,"AR",0.01,29.5524644189881
"Servo",48,"AR",0.1,30.6243089365911
"Servo",48,"AR",0.25,38.5985573991185
"Servo",48,"AR",0.5,48.9678974118262
"Servo",48,"AR",0.75,56.808903182235
"Servo",48,"AR",0.9,58.804286746115
"Servo",49,"AR",0.01,27.7453830372165
"Servo",49,"AR",0.1,28.3147793767139
"Servo",49,"AR",0.25,35.6595155221862
"Servo",49,"AR",0.5,44.4781299914395
"Servo",49,"AR",0.75,56.8500633713486
"Servo",49,"AR",0.9,59.6385282751855
"Servo",50,"AR",0.01,27.1970803440226
"Servo",50,"AR",0.1,29.6105397183725
"Servo",50,"AR",0.25,34.6637236194959
"Servo",50,"AR",0.5,42.8768672561547
"Servo",50,"AR",0.75,54.1082311134789
"Servo",50,"AR",0.9,59.1752664920781
