"dataset","sim","method","minpvalue","mse"
"Elevators",18,"AR",0.01,1.07733299577154e-05
"Elevators",18,"AR",0.1,1.23403555752783e-05
"Elevators",18,"AR",0.25,1.3430614600025e-05
"Elevators",18,"AR",0.5,1.44899811369538e-05
"Elevators",18,"AR",0.75,1.53976926046769e-05
"Elevators",18,"AR",0.9,1.552464979456e-05
"Elevators",19,"AR",0.01,1.08026514750083e-05
"Elevators",19,"AR",0.1,1.22018403939597e-05
"Elevators",19,"AR",0.25,1.34347472742833e-05
"Elevators",19,"AR",0.5,1.45426934997929e-05
"Elevators",19,"AR",0.75,1.5449379274617e-05
"Elevators",19,"AR",0.9,1.58220824736095e-05
"Elevators",20,"AR",0.01,1.06109955654407e-05
"Elevators",20,"AR",0.1,1.21359263423082e-05
"Elevators",20,"AR",0.25,1.34080690591996e-05
"Elevators",20,"AR",0.5,1.4634736259291e-05
"Elevators",20,"AR",0.75,1.54934656493132e-05
"Elevators",20,"AR",0.9,1.59737300160959e-05
"Elevators",21,"AR",0.01,1.08510732266123e-05
"Elevators",21,"AR",0.1,1.21408080178111e-05
"Elevators",21,"AR",0.25,1.31513937423707e-05
"Elevators",21,"AR",0.5,1.48075912186612e-05
"Elevators",21,"AR",0.75,1.53784186245943e-05
"Elevators",21,"AR",0.9,1.56336821063101e-05
"Elevators",22,"AR",0.01,1.07724218015864e-05
"Elevators",22,"AR",0.1,1.18809106283087e-05
"Elevators",22,"AR",0.25,1.35136606825303e-05
"Elevators",22,"AR",0.5,1.45871498001073e-05
"Elevators",22,"AR",0.75,1.57701488393807e-05
"Elevators",22,"AR",0.9,1.55975340318885e-05
"Elevators",23,"AR",0.01,1.0736612601333e-05
"Elevators",23,"AR",0.1,1.21065523240792e-05
"Elevators",23,"AR",0.25,1.33894591888855e-05
"Elevators",23,"AR",0.5,1.4727089642733e-05
"Elevators",23,"AR",0.75,1.54786888612233e-05
"Elevators",23,"AR",0.9,1.58777558059815e-05
"Elevators",24,"AR",0.01,1.0682728904447e-05
"Elevators",24,"AR",0.1,1.22874021766421e-05
"Elevators",24,"AR",0.25,1.32963679432461e-05
"Elevators",24,"AR",0.5,1.45454593941728e-05
"Elevators",24,"AR",0.75,1.54994876123713e-05
"Elevators",24,"AR",0.9,1.57022577322755e-05
"Elevators",25,"AR",0.01,1.08419484717165e-05
"Elevators",25,"AR",0.1,1.20321237925314e-05
"Elevators",25,"AR",0.25,1.35083345632892e-05
"Elevators",25,"AR",0.5,1.4467363472451e-05
"Elevators",25,"AR",0.75,1.53343752180846e-05
"Elevators",25,"AR",0.9,1.60805655884498e-05
"Elevators",26,"AR",0.01,1.07486019562998e-05
"Elevators",26,"AR",0.1,1.2002641987279e-05
"Elevators",26,"AR",0.25,1.35674656310836e-05
"Elevators",26,"AR",0.5,1.44210987313772e-05
"Elevators",26,"AR",0.75,1.5322731951403e-05
"Elevators",26,"AR",0.9,1.60641847692759e-05
"Elevators",27,"AR",0.01,1.05858117888893e-05
"Elevators",27,"AR",0.1,1.22216159284056e-05
"Elevators",27,"AR",0.25,1.34647649186932e-05
"Elevators",27,"AR",0.5,1.46834334790625e-05
"Elevators",27,"AR",0.75,1.56464143099771e-05
"Elevators",27,"AR",0.9,1.58563039315006e-05
"Elevators",28,"AR",0.01,1.07283962981562e-05
"Elevators",28,"AR",0.1,1.23352342832952e-05
"Elevators",28,"AR",0.25,1.33661329684905e-05
"Elevators",28,"AR",0.5,1.48458216135422e-05
"Elevators",28,"AR",0.75,1.52583754315448e-05
"Elevators",28,"AR",0.9,1.57502914649354e-05
"Elevators",29,"AR",0.01,1.0846061291123e-05
"Elevators",29,"AR",0.1,1.19001366440397e-05
"Elevators",29,"AR",0.25,1.30592210556115e-05
"Elevators",29,"AR",0.5,1.48153439825846e-05
"Elevators",29,"AR",0.75,1.52926788124796e-05
"Elevators",29,"AR",0.9,1.56961233983092e-05
"Elevators",30,"AR",0.01,1.05922948253643e-05
"Elevators",30,"AR",0.1,1.19249298153261e-05
"Elevators",30,"AR",0.25,1.35247388814289e-05
"Elevators",30,"AR",0.5,1.48525656556107e-05
"Elevators",30,"AR",0.75,1.5261616837069e-05
"Elevators",30,"AR",0.9,1.61250658467138e-05
"Elevators",31,"AR",0.01,1.06771262282812e-05
"Elevators",31,"AR",0.1,1.22303960726512e-05
"Elevators",31,"AR",0.25,1.33729315958094e-05
"Elevators",31,"AR",0.5,1.4599781479862e-05
"Elevators",31,"AR",0.75,1.51509873053456e-05
"Elevators",31,"AR",0.9,1.57692444541516e-05
"Elevators",32,"AR",0.01,1.05652389390327e-05
"Elevators",32,"AR",0.1,1.2295221131122e-05
"Elevators",32,"AR",0.25,1.31005733398214e-05
"Elevators",32,"AR",0.5,1.44233285010553e-05
"Elevators",32,"AR",0.75,1.53610057448296e-05
"Elevators",32,"AR",0.9,1.57625751663864e-05
"Elevators",33,"AR",0.01,1.09256334236195e-05
"Elevators",33,"AR",0.1,1.18009884479408e-05
"Elevators",33,"AR",0.25,1.32294898137024e-05
"Elevators",33,"AR",0.5,1.46120211006796e-05
"Elevators",33,"AR",0.75,1.56094196628433e-05
"Elevators",33,"AR",0.9,1.56328505238068e-05
"Elevators",34,"AR",0.01,1.07678295183945e-05
"Elevators",34,"AR",0.1,1.21481231287112e-05
"Elevators",34,"AR",0.25,1.31066749750859e-05
"Elevators",34,"AR",0.5,1.48961247533453e-05
"Elevators",34,"AR",0.75,1.54841583237154e-05
"Elevators",34,"AR",0.9,1.56476873789407e-05
"Elevators",35,"AR",0.01,1.08811584583764e-05
"Elevators",35,"AR",0.1,1.20078671847415e-05
"Elevators",35,"AR",0.25,1.34498229727344e-05
"Elevators",35,"AR",0.5,1.44673475737692e-05
"Elevators",35,"AR",0.75,1.53530505938796e-05
"Elevators",35,"AR",0.9,1.5817467500605e-05
"Elevators",36,"AR",0.01,1.08267043959483e-05
"Elevators",36,"AR",0.1,1.21450737163144e-05
"Elevators",36,"AR",0.25,1.33057759414594e-05
"Elevators",36,"AR",0.5,1.46315964226342e-05
"Elevators",36,"AR",0.75,1.54929491537375e-05
"Elevators",36,"AR",0.9,1.59491090175043e-05
"Elevators",37,"AR",0.01,1.07015741585765e-05
"Elevators",37,"AR",0.1,1.20765902034174e-05
"Elevators",37,"AR",0.25,1.35216910874265e-05
"Elevators",37,"AR",0.5,1.47572015790824e-05
"Elevators",37,"AR",0.75,1.56359591272152e-05
"Elevators",37,"AR",0.9,1.58846407095983e-05
"Elevators",38,"AR",0.01,1.10803435247385e-05
"Elevators",38,"AR",0.1,1.20976809566124e-05
"Elevators",38,"AR",0.25,1.34571213050887e-05
"Elevators",38,"AR",0.5,1.47431651844274e-05
"Elevators",38,"AR",0.75,1.56184356933311e-05
"Elevators",38,"AR",0.9,1.58448757404574e-05
"Elevators",39,"AR",0.01,1.09419838968676e-05
"Elevators",39,"AR",0.1,1.20609156111965e-05
"Elevators",39,"AR",0.25,1.32522948870504e-05
"Elevators",39,"AR",0.5,1.47375636438389e-05
"Elevators",39,"AR",0.75,1.5518369339207e-05
"Elevators",39,"AR",0.9,1.55021054814941e-05
"Elevators",40,"AR",0.01,1.06990216751463e-05
"Elevators",40,"AR",0.1,1.20071123404028e-05
"Elevators",40,"AR",0.25,1.34027097055801e-05
"Elevators",40,"AR",0.5,1.48008435220124e-05
"Elevators",40,"AR",0.75,1.53104760391674e-05
"Elevators",40,"AR",0.9,1.55689546192276e-05
"Elevators",41,"AR",0.01,1.06788170773893e-05
"Elevators",41,"AR",0.1,1.20391105614841e-05
"Elevators",41,"AR",0.25,1.35449421468794e-05
"Elevators",41,"AR",0.5,1.45652432938914e-05
"Elevators",41,"AR",0.75,1.54177299730002e-05
"Elevators",41,"AR",0.9,1.57744439005486e-05
"Elevators",42,"AR",0.01,1.06907729645673e-05
"Elevators",42,"AR",0.1,1.19256165113446e-05
"Elevators",42,"AR",0.25,1.35011543425976e-05
"Elevators",42,"AR",0.5,1.46988056467879e-05
"Elevators",42,"AR",0.75,1.53017829120696e-05
"Elevators",42,"AR",0.9,1.60077326087655e-05
"Elevators",43,"AR",0.01,1.08219630599374e-05
"Elevators",43,"AR",0.1,1.19852218571325e-05
"Elevators",43,"AR",0.25,1.33049165692316e-05
"Elevators",43,"AR",0.5,1.42312500660305e-05
"Elevators",43,"AR",0.75,1.55705515030947e-05
"Elevators",43,"AR",0.9,1.56482079660128e-05
"Elevators",44,"AR",0.01,1.05257697650426e-05
"Elevators",44,"AR",0.1,1.20948187973723e-05
"Elevators",44,"AR",0.25,1.31796514661012e-05
"Elevators",44,"AR",0.5,1.43536312808754e-05
"Elevators",44,"AR",0.75,1.53635124516477e-05
"Elevators",44,"AR",0.9,1.57400726341552e-05
"Elevators",45,"AR",0.01,1.07222045923302e-05
"Elevators",45,"AR",0.1,1.22419897192302e-05
"Elevators",45,"AR",0.25,1.33454733622176e-05
"Elevators",45,"AR",0.5,1.45809263078984e-05
"Elevators",45,"AR",0.75,1.52355157326176e-05
"Elevators",45,"AR",0.9,1.59713147778456e-05
"Elevators",46,"AR",0.01,1.07271829236488e-05
"Elevators",46,"AR",0.1,1.20202640419782e-05
"Elevators",46,"AR",0.25,1.35884321625686e-05
"Elevators",46,"AR",0.5,1.45131138788297e-05
"Elevators",46,"AR",0.75,1.53274565203564e-05
"Elevators",46,"AR",0.9,1.59317381715515e-05
"Elevators",47,"AR",0.01,1.07955584873885e-05
"Elevators",47,"AR",0.1,1.23896756642499e-05
"Elevators",47,"AR",0.25,1.33197002721171e-05
"Elevators",47,"AR",0.5,1.46085327026732e-05
"Elevators",47,"AR",0.75,1.55923340067304e-05
"Elevators",47,"AR",0.9,1.55508296887039e-05
"Elevators",48,"AR",0.01,1.06470198066043e-05
"Elevators",48,"AR",0.1,1.21533853286864e-05
"Elevators",48,"AR",0.25,1.3447835695825e-05
"Elevators",48,"AR",0.5,1.43916740904264e-05
"Elevators",48,"AR",0.75,1.56855571745313e-05
"Elevators",48,"AR",0.9,1.58391156728199e-05
"Elevators",49,"AR",0.01,1.10394280023454e-05
"Elevators",49,"AR",0.1,1.21939473561982e-05
"Elevators",49,"AR",0.25,1.33072018874566e-05
"Elevators",49,"AR",0.5,1.43849909476689e-05
"Elevators",49,"AR",0.75,1.54414406679129e-05
"Elevators",49,"AR",0.9,1.61028644833943e-05
"Elevators",50,"AR",0.01,1.06946769167458e-05
"Elevators",50,"AR",0.1,1.21718640280259e-05
"Elevators",50,"AR",0.25,1.35583590979565e-05
"Elevators",50,"AR",0.5,1.42456281798702e-05
"Elevators",50,"AR",0.75,1.52295777256058e-05
"Elevators",50,"AR",0.9,1.57007316732855e-05
