"dataset","sim","method","minpvalue","mse"
"Housing",21,"AR",0.1,14.7140374059202
"Housing",21,"AR",0.25,17.2540992317669
"Housing",21,"AR",0.5,18.0428030401435
"Housing",21,"AR",0.75,21.1727405701224
"Housing",21,"AR",0.9,20.9981414077203
"Housing",22,"AR",0.01,14.5153796391688
"Housing",22,"AR",0.1,15.8184995379293
"Housing",22,"AR",0.25,18.2899236418704
"Housing",22,"AR",0.5,17.9333245862905
"Housing",22,"AR",0.75,19.5418358284691
"Housing",22,"AR",0.9,22.0440073332829
"Housing",23,"AR",0.01,14.1316943794474
"Housing",23,"AR",0.1,15.3876065570061
"Housing",23,"AR",0.25,17.0601951359403
"Housing",23,"AR",0.5,18.6303870021049
"Housing",23,"AR",0.75,21.5845219626091
"Housing",23,"AR",0.9,19.820496149423
"Housing",24,"AR",0.01,15.0509442973137
"Housing",24,"AR",0.1,15.9548221152736
"Housing",24,"AR",0.25,17.7555865947325
"Housing",24,"AR",0.5,19.8122372221937
"Housing",24,"AR",0.75,20.0107111439529
"Housing",24,"AR",0.9,22.3419226183011
"Housing",25,"AR",0.01,14.1946005057272
"Housing",25,"AR",0.1,15.2209596464566
"Housing",25,"AR",0.25,17.5476738369364
"Housing",25,"AR",0.5,18.7223070370612
"Housing",25,"AR",0.75,20.7195034761219
"Housing",25,"AR",0.9,21.312342466288
"Housing",26,"AR",0.01,14.9676531208378
"Housing",26,"AR",0.1,16.5301428778337
"Housing",26,"AR",0.25,18.0650928809901
"Housing",26,"AR",0.5,19.1851024986495
"Housing",26,"AR",0.75,20.689514119001
"Housing",26,"AR",0.9,20.8571956228078
"Housing",27,"AR",0.01,13.1730207137276
"Housing",27,"AR",0.1,16.7429421625628
"Housing",27,"AR",0.25,17.9846141627984
"Housing",27,"AR",0.5,19.654839334862
"Housing",27,"AR",0.75,19.7698794214306
"Housing",27,"AR",0.9,20.7837983866787
"Housing",28,"AR",0.01,13.9920616322461
"Housing",28,"AR",0.1,16.2081401913941
"Housing",28,"AR",0.25,16.8049902832649
"Housing",28,"AR",0.5,18.6069135880351
"Housing",28,"AR",0.75,20.2811494504139
"Housing",28,"AR",0.9,20.4963066437449
"Housing",29,"AR",0.01,14.0570958749568
"Housing",29,"AR",0.1,16.0689024064354
"Housing",29,"AR",0.25,16.9447573911536
"Housing",29,"AR",0.5,17.9703355828765
"Housing",29,"AR",0.75,20.7796510701715
"Housing",29,"AR",0.9,20.5253374735265
"Housing",30,"AR",0.01,13.5714012932926
"Housing",30,"AR",0.1,16.212839740951
"Housing",30,"AR",0.25,17.535399034047
"Housing",30,"AR",0.5,19.2299734843202
"Housing",30,"AR",0.75,20.3884167311298
"Housing",30,"AR",0.9,19.6494583579248
"Housing",31,"AR",0.01,14.9485572312555
"Housing",31,"AR",0.1,16.7114569590339
"Housing",31,"AR",0.25,16.9488732195797
"Housing",31,"AR",0.5,19.2965844318101
"Housing",31,"AR",0.75,19.2968486214425
"Housing",31,"AR",0.9,21.2545576044007
"Housing",32,"AR",0.01,14.1469985748667
"Housing",32,"AR",0.1,15.8369527254892
"Housing",32,"AR",0.25,17.3186028819455
"Housing",32,"AR",0.5,19.4539012187479
"Housing",32,"AR",0.75,20.1510583560004
"Housing",32,"AR",0.9,20.5616475091513
"Housing",33,"AR",0.01,13.7271519621751
"Housing",33,"AR",0.1,14.4639311488157
"Housing",33,"AR",0.25,15.7754473981974
"Housing",33,"AR",0.5,18.7912784885129
"Housing",33,"AR",0.75,20.4291538648024
"Housing",33,"AR",0.9,20.5902230129013
"Housing",34,"AR",0.01,13.8904216034639
"Housing",34,"AR",0.1,15.3773375088145
"Housing",34,"AR",0.25,17.2409323692342
"Housing",34,"AR",0.5,20.0490852559422
"Housing",34,"AR",0.75,21.887872254776
"Housing",34,"AR",0.9,22.9549996759563
"Housing",35,"AR",0.01,14.4241006777147
"Housing",35,"AR",0.1,15.8255727719326
"Housing",35,"AR",0.25,16.6595354436064
"Housing",35,"AR",0.5,18.0507964852827
"Housing",35,"AR",0.75,20.7956401751577
"Housing",35,"AR",0.9,21.3451563520096
"Housing",36,"AR",0.01,13.4843553962748
"Housing",36,"AR",0.1,16.8804981077049
"Housing",36,"AR",0.25,16.8510288916185
"Housing",36,"AR",0.5,20.6673092482673
"Housing",36,"AR",0.75,21.0061253991236
"Housing",36,"AR",0.9,21.0737164421948
"Housing",37,"AR",0.01,13.8210419605648
"Housing",37,"AR",0.1,16.4869878712179
"Housing",37,"AR",0.25,17.9138110152436
"Housing",37,"AR",0.5,19.6712177966993
"Housing",37,"AR",0.75,21.0570207611272
"Housing",37,"AR",0.9,22.180055394459
"Housing",38,"AR",0.01,14.3107718935833
"Housing",38,"AR",0.1,15.7073577993512
"Housing",38,"AR",0.25,17.1869589238391
"Housing",38,"AR",0.5,19.635351416974
"Housing",38,"AR",0.75,19.9273972721675
"Housing",38,"AR",0.9,20.4639177092242
"Housing",39,"AR",0.01,14.8830137066491
"Housing",39,"AR",0.1,15.2772261438203
"Housing",39,"AR",0.25,17.6920364203244
"Housing",39,"AR",0.5,20.3556151157447
"Housing",39,"AR",0.75,21.0741592829102
"Housing",39,"AR",0.9,20.3729804331026
"Housing",40,"AR",0.01,15.1403878748641
"Housing",40,"AR",0.1,16.1511290739539
"Housing",40,"AR",0.25,17.5234227957688
"Housing",40,"AR",0.5,18.9656534403843
"Housing",40,"AR",0.75,22.3654871548972
"Housing",40,"AR",0.9,20.8948836229407
"Housing",41,"AR",0.01,14.2290187824667
"Housing",41,"AR",0.1,16.0225149867967
"Housing",41,"AR",0.25,17.9833610120905
"Housing",41,"AR",0.5,19.8412726238521
"Housing",41,"AR",0.75,20.0003565144293
"Housing",41,"AR",0.9,19.9931087011975
"Housing",42,"AR",0.01,12.7607380073406
"Housing",42,"AR",0.1,15.6915646121726
