"dataset","sim","method","minpvalue","mse"
"Friedman1",1,"AR",0.01,3.61120347176161
"Friedman1",1,"AR",0.1,5.23619459053484
"Friedman1",1,"AR",0.25,6.45863718688874
"Friedman1",1,"AR",0.5,8.46618769034658
"Friedman1",1,"AR",0.75,9.72294018666471
"Friedman1",1,"AR",0.9,10.4357261039722
"Friedman1",2,"AR",0.01,3.59903022853721
"Friedman1",2,"AR",0.1,4.87729476169499
"Friedman1",2,"AR",0.25,6.66897682568626
"Friedman1",2,"AR",0.5,8.12712634991032
"Friedman1",2,"AR",0.75,9.47396743167246
"Friedman1",2,"AR",0.9,10.1401355114762
"Friedman1",3,"AR",0.01,3.58974622071527
"Friedman1",3,"AR",0.1,5.27042714822608
"Friedman1",3,"AR",0.25,6.45396813711696
"Friedman1",3,"AR",0.5,8.29022997454522
"Friedman1",3,"AR",0.75,9.45797473311717
"Friedman1",3,"AR",0.9,9.99951232665882
"Friedman1",4,"AR",0.01,3.64232023890318
"Friedman1",4,"AR",0.1,5.17194585963539
"Friedman1",4,"AR",0.25,6.64671868817359
"Friedman1",4,"AR",0.5,8.30669057211619
"Friedman1",4,"AR",0.75,9.77648453013255
"Friedman1",4,"AR",0.9,9.78930234393528
"Friedman1",5,"AR",0.01,3.61796169886332
"Friedman1",5,"AR",0.1,5.13262876165989
"Friedman1",5,"AR",0.25,6.80606452502279
"Friedman1",5,"AR",0.5,8.49288997661931
"Friedman1",5,"AR",0.75,9.47130404827539
"Friedman1",5,"AR",0.9,10.2591615812798
"Friedman1",6,"AR",0.01,3.62491351723866
"Friedman1",6,"AR",0.1,5.13324604123806
"Friedman1",6,"AR",0.25,6.51594660061129
"Friedman1",6,"AR",0.5,8.55310399194183
"Friedman1",6,"AR",0.75,9.52584042622272
"Friedman1",6,"AR",0.9,9.81210295512562
"Friedman1",7,"AR",0.01,3.67722765379895
"Friedman1",7,"AR",0.1,5.06179673799208
"Friedman1",7,"AR",0.25,6.95658962468817
"Friedman1",7,"AR",0.5,8.53209829696969
"Friedman1",7,"AR",0.75,9.49323621773109
"Friedman1",7,"AR",0.9,10.0385033049959
"Friedman1",8,"AR",0.01,3.55567207491226
"Friedman1",8,"AR",0.1,5.18058935292083
"Friedman1",8,"AR",0.25,6.61117684778888
"Friedman1",8,"AR",0.5,8.5582983891667
"Friedman1",8,"AR",0.75,9.7248689094626
"Friedman1",8,"AR",0.9,10.4456257048877
"Friedman1",9,"AR",0.01,3.64257166364402
"Friedman1",9,"AR",0.1,5.20490274771619
"Friedman1",9,"AR",0.25,6.51703079474765
"Friedman1",9,"AR",0.5,8.37006428221382
"Friedman1",9,"AR",0.75,9.39244215728216
"Friedman1",9,"AR",0.9,10.118869014122
"Friedman1",10,"AR",0.01,3.6458800279083
"Friedman1",10,"AR",0.1,5.14379760862443
"Friedman1",10,"AR",0.25,6.73970317410626
"Friedman1",10,"AR",0.5,8.43950092983288
"Friedman1",10,"AR",0.75,9.66457560053703
"Friedman1",10,"AR",0.9,10.1623488906614
"Friedman1",11,"AR",0.01,3.63909056949856
"Friedman1",11,"AR",0.1,5.05416839890568
"Friedman1",11,"AR",0.25,6.45858307550891
"Friedman1",11,"AR",0.5,8.15015449516992
"Friedman1",11,"AR",0.75,9.52872377632727
"Friedman1",11,"AR",0.9,10.1980145876085
"Friedman1",12,"AR",0.01,3.61123304461868
"Friedman1",12,"AR",0.1,5.20321184693456
"Friedman1",12,"AR",0.25,6.37193880731986
"Friedman1",12,"AR",0.5,8.17278154309365
"Friedman1",12,"AR",0.75,9.00328682019358
"Friedman1",12,"AR",0.9,10.3531235326487
"Friedman1",13,"AR",0.01,3.58324621610567
"Friedman1",13,"AR",0.1,5.14189645242003
"Friedman1",13,"AR",0.25,6.49233822011732
"Friedman1",13,"AR",0.5,8.52899111691887
"Friedman1",13,"AR",0.75,9.50604590545066
"Friedman1",13,"AR",0.9,10.1737253274542
"Friedman1",14,"AR",0.01,3.60086181260143
"Friedman1",14,"AR",0.1,5.15729090756035
"Friedman1",14,"AR",0.25,6.55057217244482
"Friedman1",14,"AR",0.5,8.40991314040889
"Friedman1",14,"AR",0.75,9.49806895593217
"Friedman1",14,"AR",0.9,9.83632856326586
"Friedman1",15,"AR",0.01,3.67352297046912
"Friedman1",15,"AR",0.1,5.15310719181654
"Friedman1",15,"AR",0.25,6.60422904743366
"Friedman1",15,"AR",0.5,7.92388250056303
"Friedman1",15,"AR",0.75,9.36655932228209
"Friedman1",15,"AR",0.9,9.72108045464783
"Friedman1",16,"AR",0.01,3.58417676545935
"Friedman1",16,"AR",0.1,5.0431002206173
"Friedman1",16,"AR",0.25,6.62506853808731
"Friedman1",16,"AR",0.5,8.49814243453097
"Friedman1",16,"AR",0.75,9.65679060859726
"Friedman1",16,"AR",0.9,10.2285767737299
"Friedman1",17,"AR",0.01,3.59212701309246
"Friedman1",17,"AR",0.1,4.95482934437544
"Friedman1",17,"AR",0.25,6.65893964628722
"Friedman1",17,"AR",0.5,8.22001710034507
"Friedman1",17,"AR",0.75,9.53882478396998
"Friedman1",17,"AR",0.9,10.2757513487279
"Friedman1",18,"AR",0.01,3.6399931029554
"Friedman1",18,"AR",0.1,5.1571857799976
"Friedman1",18,"AR",0.25,6.55107449088691
"Friedman1",18,"AR",0.5,8.17170314400988
"Friedman1",18,"AR",0.75,9.62248912254043
"Friedman1",18,"AR",0.9,10.0677241307006
"Friedman1",19,"AR",0.01,3.68840419348792
"Friedman1",19,"AR",0.1,5.21407278977971
"Friedman1",19,"AR",0.25,6.54692547597721
"Friedman1",19,"AR",0.5,8.38479175840983
"Friedman1",19,"AR",0.75,9.54165114027077
"Friedman1",19,"AR",0.9,10.5188256715374
"Friedman1",20,"AR",0.01,3.5675759078507
"Friedman1",20,"AR",0.1,4.98621207346427
"Friedman1",20,"AR",0.25,6.65972707365995
"Friedman1",20,"AR",0.5,8.27849920394958
"Friedman1",20,"AR",0.75,9.48626340201089
"Friedman1",20,"AR",0.9,10.3659720982337
"Friedman1",21,"AR",0.01,3.62785382984537
"Friedman1",21,"AR",0.1,5.28563919514945
"Friedman1",21,"AR",0.25,6.67504338572346
"Friedman1",21,"AR",0.5,8.35478299077755
"Friedman1",21,"AR",0.75,9.77186093542566
"Friedman1",21,"AR",0.9,10.1339811716827
"Friedman1",22,"AR",0.01,3.66548740581388
"Friedman1",22,"AR",0.1,5.20241708425262
"Friedman1",22,"AR",0.25,6.3978254639221
"Friedman1",22,"AR",0.5,8.12341405126551
"Friedman1",22,"AR",0.75,9.36632784853816
"Friedman1",22,"AR",0.9,9.83731753710468
"Friedman1",23,"AR",0.01,3.54722576588508
"Friedman1",23,"AR",0.1,5.13755554839078
"Friedman1",23,"AR",0.25,6.76816617532954
"Friedman1",23,"AR",0.5,8.32283966817859
"Friedman1",23,"AR",0.75,9.56959192540736
"Friedman1",23,"AR",0.9,10.3590123204582
"Friedman1",24,"AR",0.01,3.72972451758859
"Friedman1",24,"AR",0.1,5.0543105089786
"Friedman1",24,"AR",0.25,6.64594777222767
"Friedman1",24,"AR",0.5,8.11276144881671
"Friedman1",24,"AR",0.75,9.55926488909426
"Friedman1",24,"AR",0.9,10.1281749030862
"Friedman1",25,"AR",0.01,3.59279638103517
"Friedman1",25,"AR",0.1,5.09683816670278
"Friedman1",25,"AR",0.25,6.52406971925546
"Friedman1",25,"AR",0.5,8.2476224472346
"Friedman1",25,"AR",0.75,9.50163370714356
"Friedman1",25,"AR",0.9,10.2544186895403
"Friedman1",26,"AR",0.01,3.60722424998125
"Friedman1",26,"AR",0.1,5.14451312897277
"Friedman1",26,"AR",0.25,6.51427228451422
"Friedman1",26,"AR",0.5,8.37096850921912
"Friedman1",26,"AR",0.75,9.72872393121035
"Friedman1",26,"AR",0.9,10.3822684659539
"Friedman1",27,"AR",0.01,3.67110930427384
"Friedman1",27,"AR",0.1,5.09746530950024
"Friedman1",27,"AR",0.25,6.72992844245275
"Friedman1",27,"AR",0.5,8.37659037135216
"Friedman1",27,"AR",0.75,9.81581214122514
"Friedman1",27,"AR",0.9,10.4082088078833
"Friedman1",28,"AR",0.01,3.53538149918047
"Friedman1",28,"AR",0.1,5.17219177500253
"Friedman1",28,"AR",0.25,6.34256168837738
"Friedman1",28,"AR",0.5,8.3040982851615
"Friedman1",28,"AR",0.75,9.74596347088817
"Friedman1",28,"AR",0.9,9.90193471875074
"Friedman1",29,"AR",0.01,3.65455982685693
"Friedman1",29,"AR",0.1,5.03238966205085
"Friedman1",29,"AR",0.25,6.75064074893764
"Friedman1",29,"AR",0.5,8.24275212536147
"Friedman1",29,"AR",0.75,9.22330311224413
"Friedman1",29,"AR",0.9,10.2473726762602
"Friedman1",30,"AR",0.01,3.57817112628894
"Friedman1",30,"AR",0.1,5.06593820155496
"Friedman1",30,"AR",0.25,6.42719781756654
"Friedman1",30,"AR",0.5,8.12717960168908
"Friedman1",30,"AR",0.75,9.62550072269046
"Friedman1",30,"AR",0.9,10.088522288695
"Friedman1",31,"AR",0.01,3.53240581294792
"Friedman1",31,"AR",0.1,5.26387741460293
"Friedman1",31,"AR",0.25,6.7334429521779
"Friedman1",31,"AR",0.5,8.21204425206715
"Friedman1",31,"AR",0.75,9.560591513168
"Friedman1",31,"AR",0.9,10.3104918134821
"Friedman1",32,"AR",0.01,3.62953319862556
"Friedman1",32,"AR",0.1,5.12044555970778
"Friedman1",32,"AR",0.25,6.67908785002831
"Friedman1",32,"AR",0.5,8.14267759515855
"Friedman1",32,"AR",0.75,9.54804588864334
"Friedman1",32,"AR",0.9,10.1307235117177
"Friedman1",33,"AR",0.01,3.53577831685485
"Friedman1",33,"AR",0.1,5.21309235964955
"Friedman1",33,"AR",0.25,6.46136996989815
"Friedman1",33,"AR",0.5,8.37367164200342
"Friedman1",33,"AR",0.75,9.75392350177026
