,rf_vimp.1,rf_vimp.2,rf_vimp.3,rf_vimp.4,rf_vimp.5,sss_vimp.1,sss_vimp.2,sss_vimp.3,sss_vimp.4,sss_vimp.5,er_vimp.1,er_vimp.2,er_vimp.3,er_vimp.4,er_vimp.5,ar_vimp.1,ar_vimp.2,ar_vimp.3,ar_vimp.4,ar_vimp.5
269,-0.004644052,0.006261962,-0.009250337,0.007665102,0.001039975,-0.005490197,0.006374513,-0.009527984,0.004097902,-0.004716863,-0.008302531,0.009463426,-0.01294212,0.008829065,0.002984883,-0.006004766,0.003866524,-0.010665014,-0.000202093,0.001643895
270,-0.007105014,-0.005253281,-0.009745138,-0.021564424,-0.021707504,-0.010106302,-0.007821999,-0.011984436,-0.02314167,-0.021609883,-0.010618406,-0.011978393,-0.013883326,-0.014058889,-0.006139768,-0.007335797,-0.003469844,-0.010786256,-0.013162077,-0.007851964
271,-0.011833839,-0.002665325,-0.000983173,-0.000965181,0.01354814,-0.011196454,-0.001159077,-0.000321001,0.001489012,0.013465445,-0.01197531,-0.004002674,-0.007436876,0.00339409,0.003014924,-0.009602998,-0.002858179,-0.002978182,-8.15E-05,0.006096172
272,-0.008689569,0.00062832,-0.001648961,0.000867058,0.048060839,-0.007328411,-0.00221216,-0.00208178,-0.001827285,0.043575838,-0.004705928,-0.003310136,-0.00241364,-0.003574204,0.009580898,-0.008784919,-0.002669988,-0.005003018,0.004035453,0.029780443
273,0.011295893,-0.00428102,-0.001897775,-0.008308135,-0.019491465,0.01036801,-0.004555838,-0.002262265,-0.007960323,-0.020095437,0.005267513,-0.009223099,-0.00681129,-0.006184472,-0.006159799,0.017187081,-0.003985818,-0.002878782,-0.002577614,-0.008795117
274,0.003556467,-0.001193515,0.000416689,-0.000661569,-0.011122448,0.003047217,-0.001554156,0.001787272,-9.29E-05,-0.01144531,0.00870336,-0.002858533,0.004597158,0.002716152,-0.002700357,0.000101262,-0.003014793,-0.003135474,-0.001208329,-0.006053228
275,-0.008394106,0.002208868,-0.004787897,-0.002037635,-0.010019481,-0.01022086,0.000731113,-0.007409353,-0.000688675,-0.008236285,-0.01214386,-0.000619301,-0.008663369,-0.002722844,-0.005963309,-0.008182707,0.002129773,-0.003242265,-0.003390196,-0.005382734
276,0.016365192,0.008417174,0.00135712,0.008469599,0.029320049,0.020005033,0.008906874,0.003242325,0.008961312,0.03385879,0.014252623,0.018476657,0.009083949,0.003148388,0.008649785,0.018702203,0.016022109,0.004879565,0.006034551,0.015261615
277,0.002965783,0.000109934,-0.00473404,-0.001718295,-0.003275073,0.00389556,-0.001001438,-0.004138577,0.000564239,-0.004416096,0.000231411,0.00031172,-0.008723136,0.010227566,-0.001535763,0.004114131,-0.000877609,-0.00856363,-0.005944479,-0.001135082
278,-0.001205509,-0.00216453,0.009872988,0.011355023,0.009154123,-0.002090107,-0.000859896,0.01148838,0.011028046,0.010289925,-0.003297566,-0.00327487,0.00623176,0.005685761,3.48E-05,-0.005149976,-0.002994589,0.010379635,0.010627715,0.003401172
279,0.000930216,-0.001113762,0.003369459,-0.007051483,0.008525071,0.000816079,-0.002394065,0.002485289,-0.007679469,0.00966331,0.007363724,-0.001696477,-0.000562168,-0.003449277,0.000430093,0.001763163,-0.001537756,0.00258235,-0.00742584,0.006223319
280,-0.004466565,0.000406167,1.79E-05,-0.002759569,0.009700149,-0.00133272,-0.000197815,-0.000895503,-0.001341076,0.014878241,-0.001427566,-0.001079055,-0.005159826,7.55E-06,0.007092996,-0.001770158,-0.002543624,-0.002772802,-0.001261201,0.008309199
281,0.014755251,-0.003930757,0.009453509,-0.01221548,0.014337016,0.014662447,-0.005501856,0.008510023,-0.013926741,0.00923473,0.005027671,-0.011962829,0.011573738,-0.0080022,0.003911105,0.006561243,-0.004544397,0.01694162,-0.009696059,0.007233817
282,-0.004902176,-0.004016035,-0.003469442,0.017198643,-0.019526328,0.00116736,-0.004110801,-0.000858417,0.019998961,-0.017284356,-0.006013269,-0.008272303,-0.001674913,0.010000591,-0.006018727,-0.003151742,-0.003021792,0.001361104,0.017050108,-0.005262914
283,0.003179974,0.008893562,0.002037414,-0.00088562,0.005626659,0.004286515,0.005928786,-0.000618124,0.000868248,7.99E-05,0.001115328,0.017922536,-0.001701765,0.000832987,0.001408537,-0.000116833,0.018569471,-0.007180626,-0.00310915,-0.002907024
284,-0.00720448,-0.001644048,0.001847493,0.000121445,0.00711573,-0.007510299,-0.000615064,0.000665836,0.003034863,0.011858069,-0.007910624,0.002195008,0.002245058,-0.001298005,0.000383437,-0.008989025,-0.00133986,-0.001238678,-0.005008909,0.000368104
285,-0.006003022,-0.00265746,-0.002385466,0.002565885,0.035945072,-0.008347868,-0.002066016,-0.001813946,-0.000587143,0.033226892,-0.004479415,-0.00337436,0.000113579,0.004553532,0.008034022,-0.00537051,-0.003588982,-0.003312177,0.003837987,0.027177137
286,-0.002765424,0.001213655,0.000134138,0.021220608,0.051513607,-0.001479896,0.001715406,0.002775287,0.023319311,0.04920171,0.006143265,0.004313313,0.001859521,0.008280114,0.012122941,-0.002545714,0.001158257,0.002717561,0.019960654,0.018148934
287,-0.013065563,-0.005481378,0.001355859,-0.012033612,-0.013608325,-0.011193204,-0.004331898,0.002450644,-0.011334775,-0.013559883,-0.015789495,-0.007964959,0.007768132,-0.005912442,-0.003967505,-0.008292498,-0.004237559,0.018430092,-0.005348211,-0.003036098
