,rf_vimp.1,rf_vimp.2,rf_vimp.3,rf_vimp.4,rf_vimp.5,sss_vimp.1,sss_vimp.2,sss_vimp.3,sss_vimp.4,sss_vimp.5,er_vimp.1,er_vimp.2,er_vimp.3,er_vimp.4,er_vimp.5,ar_vimp.1,ar_vimp.2,ar_vimp.3,ar_vimp.4,ar_vimp.5
1,0.008349599,0.002427777,0.072066273,0.014739356,0.015821485,0.005857224,0.002203368,0.073908326,0.014671077,0.015929272,0.005964921,0.00240867,0.086448811,0.00222104,0.002780456,0.011481323,0.00279788,0.119612243,0.010060139,0.004831934
2,0.008759656,-0.000562167,0.054584824,0.030612745,0.028800876,0.003743406,-0.001735981,0.055358586,0.024977443,0.023381045,0.005435264,-0.003620503,0.045557051,0.011480488,0.001508586,0.002976642,-0.001999405,0.065322338,0.015270508,0.004866078
3,0.000747153,8.28E-05,0.120597529,-0.013400743,-0.016954339,0.001155258,-0.001797052,0.118241453,-0.011159873,-0.018924578,-0.002702811,0.001888095,0.121690071,-0.002636787,-0.000490546,0.000702102,-0.000697,0.174632114,-0.007848726,-0.00231861
4,-0.004838868,0.002869042,0.034370873,-0.009098906,0.029807659,-0.006254947,0.003736648,0.032355821,-0.008496346,0.02910648,0.001401181,-0.006755054,0.04156192,-0.002499022,0.002743794,-0.001031438,-0.001317078,0.062911989,-0.004555938,0.010757306
5,0.001667338,-0.00404176,0.045938644,-0.007289803,-0.00627653,0.002048087,-0.005718569,0.046779647,-0.005354919,-0.008159332,0.004805657,-0.007981091,0.053481957,-0.002228466,-0.001939655,-0.000712893,-0.003727824,0.076860445,-0.00721786,-0.005548109
6,0.005222752,0.00117634,0.056911745,-0.005720235,0.002818462,0.010949105,0.001445497,0.058172439,-0.001556817,0.004106858,0.010275105,0.003327125,0.064786969,0.000464885,0.000451267,0.009887074,-0.000822528,0.091806069,-0.003962639,0.001126336
7,0.005127616,-0.002968064,0.046573297,-0.001939458,0.009242339,0.003157137,-0.003187296,0.049831086,0.00078851,0.011643671,0.007874459,-0.007466568,0.05996987,0.002905181,0.001566866,0.013193838,-0.00313934,0.085949193,-0.001775036,0.008681502
8,-0.010499245,-0.003522503,0.040405737,-0.006239326,0.009015017,-0.008143524,-0.002025795,0.041175013,-0.003958818,0.011293224,-0.011436439,-0.013442709,0.038333514,-0.001554464,0.001503571,-0.009443381,-0.004032055,0.068932822,-0.003164893,0.003320444
9,-0.005518218,-0.003853506,0.086899163,-0.002600556,-0.006283462,-0.003649421,-0.00317459,0.091068806,-0.003325833,-0.007962907,-0.007337182,-0.002516891,0.093689106,-0.002926362,-0.000636404,-0.006545273,-0.002252502,0.138453424,-0.004546919,-0.001363154
10,-0.010482163,-0.001124998,0.071884673,0.002328189,0.000262006,-0.01013166,-0.002778708,0.074456929,0.002944678,2.20E-05,-0.00859154,-0.006688858,0.07888133,0.003872667,0.001713186,-0.006982328,-0.003062416,0.120059025,0.008599425,-0.00189515
11,0.005218731,-0.001788479,0.070407806,-0.000913078,0.01042129,0.004189362,-0.002767113,0.072764966,-0.003776574,0.010075519,0.008872913,-0.006321984,0.069355271,-0.003595006,0.001867752,0.006481589,-0.003768492,0.101382724,0.002844562,0.005119317
12,-0.000808533,-0.005848553,0.027826024,0.011334906,0.005101346,-0.00125545,-0.004620651,0.026186017,0.013440859,0.005532655,-0.00261435,-0.011532533,0.035693545,0.008729696,0.000809949,0.000364808,-0.004506462,0.049920971,0.014044735,0.002111952
13,-0.004655926,-0.001618409,0.032665117,-0.010826521,-0.004216191,-0.00592924,-0.001444963,0.031314123,-0.009486384,-0.000631093,-0.00364298,-0.004489966,0.035109799,-0.000884325,0.00031377,-0.003231628,-0.0053499,0.050197812,-0.005937174,-5.20E-05
14,0.010905494,-0.002404182,0.024454116,-0.004664888,-0.007008915,0.008859185,-0.000640046,0.023980242,-0.005442976,-0.004392159,0.002128296,-0.008674179,0.023828773,-0.005298076,-0.002215283,0.003820283,-0.002726084,0.038073595,-0.004615723,-0.002885853
15,-0.008910721,-0.001616906,0.041780164,-0.010236636,0.033679684,-0.006820513,0.000792572,0.040565741,-0.006179713,0.037456172,-0.002208675,-0.005727839,0.045924451,-0.00345876,0.004139532,-0.00516278,-0.004093571,0.067601103,0.000304592,0.011108818
16,0.001005736,-0.00279584,0.061625246,0.00694378,-0.006624102,0.001750833,-0.001986686,0.064644119,0.007784086,-0.004816798,0.001116906,-0.00656405,0.073196661,0.003613881,-0.004298263,0.00434171,-0.003254473,0.108937802,0.002418085,-0.003558712
17,-0.003624796,0.00014719,0.025370047,-0.008414951,0.013826841,-0.001055038,-0.000891432,0.025650291,-0.009096162,0.014895236,0.000796259,0.000231568,0.028900662,-0.007671056,-0.000670013,-0.004866796,-0.000758609,0.057996804,-0.009567056,0.002017284
18,0.00163101,-0.002491452,0.051876432,0.007981638,-0.020415802,0.000904346,-0.004460806,0.050759308,0.004619313,-0.02282991,0.003156212,-0.01142965,0.053004603,0.000944637,-0.006303233,0.006496912,-0.003088203,0.079069317,0.003031045,-0.012256819
19,-0.008011663,0.002878661,0.021205681,0.013283209,-0.017630442,-0.008521261,0.000236601,0.021261322,0.016137929,-0.015331507,-0.006832713,0.001949768,0.026834658,0.007144454,-0.006939067,-0.00649536,-0.000512491,0.035298957,0.01154653,-0.009861231
20,0.005747245,0.003501805,0.012926827,-0.002279406,0.007031171,0.002428357,0.002042692,0.009660102,-0.002081345,0.002173501,0.006855804,0.005313718,0.018504682,0.000204734,0.007946057,0.001346023,-0.001061076,0.017272124,-0.004049045,0.000895442
21,0.00759144,-0.002733344,0.047585911,-0.014863531,-0.014455821,0.006874758,-0.003130129,0.04628526,-0.013216645,-0.015962701,0.007336825,-0.009453957,0.054011556,-0.007347714,-0.002455025,0.007771648,-0.003209237,0.07976421,-0.010788796,-0.004252268
22,-0.013610936,-4.00E-05,0.047027272,0.01558856,-0.015058875,-0.012838222,0.000153419,0.047916753,0.017048721,-0.01170007,-0.012625702,-0.002238175,0.044850245,0.00751529,-0.002471743,-0.007395772,-0.002190002,0.062732531,0.012295584,-0.002852751
