,rf_vimp.1,rf_vimp.2,rf_vimp.3,rf_vimp.4,rf_vimp.5,sss_vimp.1,sss_vimp.2,sss_vimp.3,sss_vimp.4,sss_vimp.5,er_vimp.1,er_vimp.2,er_vimp.3,er_vimp.4,er_vimp.5,ar_vimp.1,ar_vimp.2,ar_vimp.3,ar_vimp.4,ar_vimp.5
29,-0.00270698,-0.003476044,-0.005166638,-0.015330551,-0.004140097,-0.003284701,-0.000701353,-0.002518186,-0.010813152,0.001839488,-0.003045108,-0.003793292,-0.002842844,-0.004022685,0.00017298,-0.00448379,-0.003549096,-0.005307364,-0.008909247,-0.002405401
30,0.024932181,0.00286994,-0.003573333,-0.007711805,-0.012271635,0.023819115,0.002674565,-0.003110756,-0.005035725,-0.009951214,0.021506567,0.006403447,-0.003892811,-0.007014418,0.001868002,0.024854059,0.002491225,-0.002902734,-0.007019507,-0.003218896
31,-0.004093794,-0.00425991,0.009077578,-0.012616971,-0.012149038,-0.003356369,-0.004352903,0.008579704,-0.01282628,-0.006793421,-0.007191244,-0.009405523,0.017162922,-0.00601307,-0.003892301,-0.007758437,-0.004426802,0.027178769,-0.007275536,-0.003963972
32,-0.005290202,-0.004332833,-0.00044844,-0.008849467,0.049828681,-0.00282628,-0.004139502,0.001445615,-0.008094798,0.048226446,-0.000267436,-0.011715034,-0.004194717,-0.008403126,0.008676146,0.002359461,-0.005138918,-0.00194214,-0.009800348,0.024833748
33,-0.005818762,-0.00252019,0.008580263,-0.009320232,-0.022083731,-0.003950332,-0.000937464,0.010649784,-0.008171576,-0.022160931,-0.00037186,0.012493619,0.019576152,-0.008206924,-0.004041312,-0.004128998,0.004354736,0.018984879,-0.007268408,-0.012535727
34,0.021760355,0.007974496,0.00084243,-0.008530859,0.02273845,0.0190187,0.008723382,-0.00167341,-0.011269678,0.017944548,0.014958693,0.027801336,-0.001613775,-0.006995378,0.003675258,0.025937543,0.032057116,-0.001043655,-0.003250133,0.003500459
35,0.000753334,-4.06E-05,-0.001938915,-0.016311706,-0.024219932,-0.000637976,-0.002314911,-0.004736178,-0.020127783,-0.023715475,-0.002837122,-0.002367374,-0.004244546,-0.008242232,-0.002450257,-0.005406884,-0.002907325,-0.007755927,-0.010788952,-0.00912247
36,0.003226189,0.002791499,0.002704839,0.007296135,0.010107182,0.000875968,0.002320644,-0.000415683,0.00456462,0.011462278,0.000957474,0.004362221,0.005708587,0.000984587,0.001009164,0.003165042,0.003908748,0.006304583,0.012026532,0.005081756
37,-0.014040032,-0.000947053,0.001650747,0.005301034,-0.023729684,-0.009356824,-0.001358104,0.002272351,0.007893381,-0.01877382,-0.01097859,0.011101197,0.003907064,0.00100524,-0.007490838,-0.006222604,0.002153006,-0.002154858,0.003620599,-0.010373762
38,0.007698621,0.003121629,-0.002135104,-0.006461928,-0.012946806,0.006257942,0.002907999,-0.003287209,-0.006175352,-0.014958842,-0.000508573,-0.000518383,-0.007930683,-0.004453744,-0.003382112,0.005089908,0.000229077,-0.007426384,-0.007316533,-0.007067813
39,-0.001514432,-0.002023451,2.40E-05,-0.003583648,0.031992933,-0.00444153,-0.001447764,-0.000352059,-0.009208743,0.024720386,-0.008505553,-0.009322469,-0.005599855,-0.005192478,0.005214812,-0.004520733,-0.005396005,-0.002513271,-0.005717879,0.012417987
40,0.001265343,0.003498918,-0.004243011,0.006726961,0.002370351,-0.002309542,0.002182526,-0.005472385,0.006972044,0.003807304,-0.003625527,0.003820752,-0.006649565,0.003776139,0.000444389,-0.002414456,0.000564669,-0.003999836,0.003632674,-0.000402848
