,rf_vimp.1,rf_vimp.2,rf_vimp.3,rf_vimp.4,rf_vimp.5,sss_vimp.1,sss_vimp.2,sss_vimp.3,sss_vimp.4,sss_vimp.5,er_vimp.1,er_vimp.2,er_vimp.3,er_vimp.4,er_vimp.5,ar_vimp.1,ar_vimp.2,ar_vimp.3,ar_vimp.4,ar_vimp.5
1,0.011633672,0.000966616,0.035887665,0.026577704,0.0421928,0.011738689,0.001689952,0.03541061,0.022934296,0.043456777,0.01026638,0.005400417,0.039402987,0.008375671,0.014798973,0.013185706,0.002767022,0.050397562,0.019506904,0.023024823
2,0.008493544,-0.003314809,0.010131408,0.017370515,-0.011894092,0.007566732,-0.004789374,0.006553911,0.014879788,-0.011679425,0.001366777,-0.008371525,0.006795108,0.004565062,-0.003991556,0.006587618,-0.005018709,0.006141727,0.011331941,-0.005115897
3,-0.001765633,0.012641683,0.018725062,-0.00080775,-0.032631605,-0.002038405,0.016062639,0.024166231,0.001214332,-0.025332602,2.00E-06,0.025337007,0.025390222,0.005984379,-0.004527463,0.00137804,0.027362614,0.033886045,0.006762909,-0.008991345
4,0.010385526,-0.00211005,0.037618296,0.0047482,-0.022802562,0.008861197,-0.0033707,0.036806548,0.003439644,-0.023306059,0.009785026,-0.00756433,0.035875187,0.004772733,-0.001794097,0.009861531,-0.0032711,0.059395404,0.013269463,-0.006695148
5,0.000318594,-0.00431203,0.007696437,0.004310685,-0.017946783,-0.004138444,-0.005526686,0.006109626,0.004692348,-0.020625459,-0.004773901,-0.015182368,0.003692839,-0.002343898,-0.005835597,-0.002500422,-0.004333557,0.012968586,0.001183494,-0.009141325
6,-0.003184499,-0.001774761,0.009437985,0.00417149,0.049231688,-0.001619708,0.00011462,0.010667474,0.005701873,0.050833789,-0.001117717,0.000779041,0.011198689,-0.001342331,0.012138027,-0.005887837,-0.002327153,0.010824849,0.001271651,0.026830379
7,0.008612211,-0.00132648,0.001217288,0.002617823,0.030660532,0.006508997,-0.000454007,0.002387546,0.004091006,0.033080897,0.006749127,-0.008385556,-0.004826994,-0.000426768,0.008703833,0.011515176,-0.00329831,0.000820495,0.00089571,0.01386016
8,-0.009180321,-0.000118049,0.024186568,7.47E-05,0.051304038,-0.004871637,0.00278972,0.029701467,0.005705554,0.058245077,-0.010358119,0.00405315,0.020383038,0.001778478,0.013463627,-0.009168523,0.001933744,0.024139374,-0.00083218,0.025566962
9,-0.004442571,-0.002295222,-0.000738616,0.012149971,0.012216967,-0.005624751,-0.004751195,-0.000886255,0.011496222,0.010007795,0.002864133,-0.010707121,-0.00306882,0.000898238,0.002081101,0.001076904,-0.003832759,-0.002100228,0.014723839,0.002827101
10,-0.0052789,-0.003008891,0.017516712,0.00224442,-0.025364199,-0.003341244,-0.002846519,0.012658392,-0.001617732,-0.031562305,-0.008018462,0.001419002,0.025934558,0.003016649,-0.006296282,-0.005414929,-0.001321257,0.028232057,0.000346461,-0.011352622
11,0.009200719,-0.002911418,0.003330682,-0.003519381,-0.017088391,0.014652399,-0.002012198,0.004865684,-0.001479029,-0.015149051,0.008905049,-0.005125052,0.009969988,-0.002034702,-0.006077264,0.019489032,-0.002443602,0.009960259,-0.001460759,-0.008595595
12,-0.002818475,-0.003338218,-0.00276767,-0.000402136,-0.014096716,-0.000720505,-0.00151479,-0.001578559,0.000497535,-0.010287981,-0.001214797,7.86E-05,-0.004712986,-0.002084165,-0.001421158,-0.000875474,-0.002524429,-0.002027237,0.007695074,-0.006619699
13,0.004619062,0.004172575,0.00969434,0.001408976,-0.004862332,0.002971341,0.006005606,0.008403348,0.003395403,-0.002728352,-0.000139864,0.005593643,0.00952478,-0.000776806,0.001393992,0.002482336,0.004071374,0.01483093,-0.003402945,-0.002674713
14,0.000215093,0.002742123,0.0381425,-0.003113987,0.002079536,-0.001585028,0.00266488,0.03927498,-0.003930756,0.004123581,-0.00380951,0.008555625,0.052404994,0.007311834,0.000778883,-0.004925257,0.00105264,0.0674459,-0.000726684,0.001995913
15,-0.00644739,-0.002589117,0.002377647,-0.000796748,0.007718149,-0.00623127,-0.000595387,0.005284675,0.001771091,0.017216156,-0.008748721,-0.003827826,0.006124242,7.37E-05,0.001167027,-0.004242366,-0.002013992,0.007981699,0.0041394,0.007944544
16,-0.006961975,-0.003452798,0.009759186,0.005003619,0.010002464,-0.003141208,-0.000147405,0.010220563,0.005775388,0.008465095,-0.011845923,-0.00267398,0.011274624,0.001033981,0.004330079,-0.006494003,-0.003549712,0.01192151,0.004556695,0.003673712
