"dataset","sim","method","mse"
"Imports85",37,"ER",6216920.20587266
"Imports85",38,"ER",5720750.90843362
"Imports85",39,"ER",5723749.21068509
"Imports85",40,"ER",5710255.45425423
"Imports85",41,"ER",5924089.44546646
"Imports85",42,"ER",5925840.14402631
"Imports85",43,"ER",5768494.95822636
"Imports85",44,"ER",5893682.1965064
"Imports85",45,"ER",5888804.76690741
"Imports85",46,"ER",5707913.76011835
"Imports85",47,"ER",5771791.7656504
"Imports85",48,"ER",5730809.24310554
"Imports85",49,"ER",6093810.2264635
"Imports85",50,"ER",6081053.84206719
"Imports85",1,"AR",8044494.43794397
"Imports85",2,"AR",8160891.02711063
"Imports85",3,"AR",8038957.33646752
"Imports85",4,"AR",7436382.2552523
"Imports85",5,"AR",7005625.8672419
"Imports85",6,"AR",7136904.30070055
"Imports85",7,"AR",7588828.75401671
"Imports85",8,"AR",7591243.02295967
"Imports85",9,"AR",8794066.96904293
"Imports85",10,"AR",9009875.83509142
"Imports85",11,"AR",8158289.83769376
"Imports85",12,"AR",7624011.44452065
"Imports85",13,"AR",7998887.19354942
"Imports85",14,"AR",7534759.31888269
"Imports85",15,"AR",7401675.26666256
"Imports85",16,"AR",7620650.40284144
"Imports85",17,"AR",7255992.21654453
"Imports85",18,"AR",8044630.55642124
"Imports85",19,"AR",8432360.07629211
"Imports85",20,"AR",8180067.32096171
"Imports85",21,"AR",7170154.53706457
"Imports85",22,"AR",7308436.21449967
"Imports85",23,"AR",7233244.58945436
"Imports85",24,"AR",6833791.86551384
"Imports85",25,"AR",7972029.00447724
"Imports85",26,"AR",6719434.44131136
"Imports85",27,"AR",7078843.02207924
"Imports85",28,"AR",8220297.95231245
"Imports85",29,"AR",8624319.69595449
"Imports85",30,"AR",7541573.08753085
"Imports85",31,"AR",7720701.87197453
"Imports85",32,"AR",8529422.29387306
"Imports85",33,"AR",8650690.57083156
"Imports85",34,"AR",7618332.97928029
"Imports85",35,"AR",7615210.93355293
"Imports85",36,"AR",7775243.71007038
"Imports85",37,"AR",7727492.66596424
"Imports85",38,"AR",7721666.11551914
"Imports85",39,"AR",7864626.00627533
"Imports85",40,"AR",8133798.13828478
"Imports85",41,"AR",8100482.90864551
"Imports85",42,"AR",7503849.02510408
"Imports85",43,"AR",7893360.55470955
"Imports85",44,"AR",8121824.58636661
"Imports85",45,"AR",8284013.92174903
"Imports85",46,"AR",8326924.45238567
"Imports85",47,"AR",7881363.85839147
"Imports85",48,"AR",7166621.96468046
"Imports85",49,"AR",7993698.86032896
"Imports85",50,"AR",9234686.50556822
