"dataset","sim","method","mse"
"Servo",45,"ER",85.0990792819543
"Servo",46,"ER",80.5513487596542
"Servo",47,"ER",84.652446829345
"Servo",48,"ER",79.7206968441736
"Servo",49,"ER",83.7740216258624
"Servo",50,"ER",82.7454437781461
"Servo",1,"AR",30.5790198308595
"Servo",2,"AR",28.1628585671813
"Servo",3,"AR",28.9563402749162
"Servo",4,"AR",29.6893080819054
"Servo",5,"AR",29.3370177000939
"Servo",6,"AR",30.7957876184036
"Servo",7,"AR",28.6625345800446
"Servo",8,"AR",28.4531630401827
"Servo",9,"AR",29.4762249876172
"Servo",10,"AR",29.7498681796624
"Servo",11,"AR",29.3465339629783
"Servo",12,"AR",30.449067621455
"Servo",13,"AR",28.153780208456
"Servo",14,"AR",28.4345600677733
"Servo",15,"AR",28.5563565009825
"Servo",16,"AR",29.8260397276051
"Servo",17,"AR",28.4858856530608
"Servo",18,"AR",27.691066065814
"Servo",19,"AR",29.4279808718944
"Servo",20,"AR",28.2499206828745
"Servo",21,"AR",28.8792325578573
"Servo",22,"AR",28.7046216052434
"Servo",23,"AR",29.4432877109954
"Servo",24,"AR",29.8217944541245
"Servo",25,"AR",30.0825196950661
"Servo",26,"AR",29.3662373662781
"Servo",27,"AR",28.0306032575131
"Servo",28,"AR",29.7396274495456
"Servo",29,"AR",29.2811364447786
"Servo",30,"AR",29.9613484988296
"Servo",31,"AR",29.8822636832362
"Servo",32,"AR",29.1236639146102
"Servo",33,"AR",27.7413570433512
"Servo",34,"AR",28.8103460945496
"Servo",35,"AR",28.2308181752344
"Servo",36,"AR",26.7417652311509
"Servo",37,"AR",29.7825619013035
"Servo",38,"AR",29.8156292716418
"Servo",39,"AR",29.6942339953264
"Servo",40,"AR",27.4411428997416
"Servo",41,"AR",28.5688380418786
"Servo",42,"AR",28.9439819317519
"Servo",43,"AR",29.1403701712495
"Servo",44,"AR",31.2286442649674
"Servo",45,"AR",30.409349772368
"Servo",46,"AR",29.4980954447244
"Servo",47,"AR",27.7185760490972
"Servo",48,"AR",29.5604092702856
"Servo",49,"AR",30.824482967569
"Servo",50,"AR",27.987042868016
