"dataset","sim","method","mse"
"Airquality",45,"ER",322.150151256454
"Airquality",46,"ER",359.727330133789
"Airquality",47,"ER",334.132672140762
"Airquality",48,"ER",334.356110401614
"Airquality",49,"ER",345.720814676903
"Airquality",50,"ER",336.60996442612
"Airquality",1,"AR",341.358846302626
"Airquality",2,"AR",361.916072434116
"Airquality",3,"AR",317.103103583589
"Airquality",4,"AR",345.52758557469
"Airquality",5,"AR",343.271180891375
"Airquality",6,"AR",346.307255276286
"Airquality",7,"AR",337.993453781777
"Airquality",8,"AR",347.606555200754
"Airquality",9,"AR",360.845695998237
"Airquality",10,"AR",343.944902772189
"Airquality",11,"AR",327.986015115082
"Airquality",12,"AR",339.803302410031
"Airquality",13,"AR",369.4155371463
"Airquality",14,"AR",338.099358643583
"Airquality",15,"AR",348.031674873135
"Airquality",16,"AR",336.216854165699
"Airquality",17,"AR",350.634138951589
"Airquality",18,"AR",349.801819919219
"Airquality",19,"AR",345.040965826697
"Airquality",20,"AR",318.232652587124
"Airquality",21,"AR",356.617646469352
"Airquality",22,"AR",358.903065135064
"Airquality",23,"AR",356.039384027567
"Airquality",24,"AR",322.985363179069
"Airquality",25,"AR",332.927178539233
"Airquality",26,"AR",323.218426992908
"Airquality",27,"AR",359.331537998821
"Airquality",28,"AR",339.741449481838
"Airquality",29,"AR",359.703139508621
"Airquality",30,"AR",361.14651962072
"Airquality",31,"AR",325.505828379765
"Airquality",32,"AR",354.452013009769
"Airquality",33,"AR",352.058885608198
"Airquality",34,"AR",369.454917667835
"Airquality",35,"AR",332.752604940203
"Airquality",36,"AR",345.768104838059
"Airquality",37,"AR",329.878273926494
"Airquality",38,"AR",353.139828068884
"Airquality",39,"AR",367.955845406823
"Airquality",40,"AR",337.732884184918
"Airquality",41,"AR",337.647300591015
"Airquality",42,"AR",358.817602586693
"Airquality",43,"AR",351.277182576062
"Airquality",44,"AR",350.782184304247
"Airquality",45,"AR",333.39863349142
"Airquality",46,"AR",342.72869156943
"Airquality",47,"AR",325.081745412026
"Airquality",48,"AR",342.231391714645
"Airquality",49,"AR",337.397041339255
"Airquality",50,"AR",359.322712149771
