"dataset","sim","method","mse"
"Abalone",37,"ER",4.63192068300303
"Abalone",38,"ER",4.61212178056153
"Abalone",39,"ER",4.63430254179215
"Abalone",40,"ER",4.6265426718588
"Abalone",41,"ER",4.64881607242129
"Abalone",42,"ER",4.6210603920242
"Abalone",43,"ER",4.63731660289172
"Abalone",44,"ER",4.62167109623823
"Abalone",45,"ER",4.66164856509501
"Abalone",46,"ER",4.65566474141435
"Abalone",47,"ER",4.67828957863095
"Abalone",48,"ER",4.6241697208777
"Abalone",49,"ER",4.67346786403563
"Abalone",50,"ER",4.63287021800408
"Abalone",1,"AR",4.633600498152
"Abalone",2,"AR",4.58479204659187
"Abalone",3,"AR",4.59638429706947
"Abalone",4,"AR",4.64551206338499
"Abalone",5,"AR",4.61161777497896
"Abalone",6,"AR",4.59032250394374
"Abalone",7,"AR",4.59193864894772
"Abalone",8,"AR",4.61881179099617
"Abalone",9,"AR",4.60926166980148
"Abalone",10,"AR",4.59916245460034
"Abalone",11,"AR",4.62235060863541
"Abalone",12,"AR",4.59779094619636
"Abalone",13,"AR",4.60009844431623
"Abalone",14,"AR",4.63797711900127
"Abalone",15,"AR",4.58918283673635
"Abalone",16,"AR",4.5975520404076
"Abalone",17,"AR",4.59844576864408
"Abalone",18,"AR",4.62326839762956
"Abalone",19,"AR",4.62618991614149
"Abalone",20,"AR",4.58779524829497
"Abalone",21,"AR",4.60066623109238
"Abalone",22,"AR",4.59378270532951
"Abalone",23,"AR",4.60878503741928
"Abalone",24,"AR",4.59245349393859
"Abalone",25,"AR",4.60339688175435
"Abalone",26,"AR",4.59039769809965
"Abalone",27,"AR",4.58037692132931
"Abalone",28,"AR",4.61568681692491
"Abalone",29,"AR",4.64606064643739
"Abalone",30,"AR",4.6066546630193
"Abalone",31,"AR",4.58463507251263
"Abalone",32,"AR",4.6126035100024
"Abalone",33,"AR",4.64237738403206
"Abalone",34,"AR",4.61093116789136
"Abalone",35,"AR",4.58187567681889
"Abalone",36,"AR",4.60591851381398
"Abalone",37,"AR",4.60838667139976
"Abalone",38,"AR",4.60614729315213
"Abalone",39,"AR",4.59430825516222
"Abalone",40,"AR",4.61763485677918
"Abalone",41,"AR",4.63247463464342
"Abalone",42,"AR",4.62104114611179
"Abalone",43,"AR",4.59535769990234
"Abalone",44,"AR",4.60910191706717
"Abalone",45,"AR",4.60414820252181
"Abalone",46,"AR",4.61699487894056
"Abalone",47,"AR",4.59561589642658
"Abalone",48,"AR",4.61765102040831
"Abalone",49,"AR",4.63022596419932
"Abalone",50,"AR",4.63953444257247
